Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0369995484,49.9630004516,8.3333333333,15.0401732312,1.0000000000,0.8888000000,225.0225022502,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9420805495,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9211606473,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9002407452,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8793208431,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0357292805,49.8435915626,9.0909090909,15.1201765726,1.0000000000,0.8888000000,225.0225022502,0,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.8228498031,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.8021080436,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7813662841,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7606245246,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0306881554,49.7299363692,20.0000000000,15.6001930093,1.0000000000,0.8840000000,226.2443438914,0,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.7078260428,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6857157165,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6636053902,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6414950639,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0312240700,49.6102709938,16.6666666667,15.5202124962,1.0000000000,0.8848000000,226.0397830018,0,0
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5886576200,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5670442461,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5454308722,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5238174984,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0317579409,49.4920595575,16.6666666667,15.5201869491,1.0000000000,0.8848000000,226.0397830018,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4699742804,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4478890034,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4258037263,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4037184492,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0306026863,49.3731157629,20.0000000000,15.6001849837,1.0000000000,0.8840000000,226.2443438914,0,0
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.3510862663,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.3290567696,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.3070272729,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.2849977763,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0351763096,49.2498214667,10.0000000000,15.2002003967,1.0000000000,0.8880000000,225.2252252252,0,0
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.2285801883,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.2073389100,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.1860976316,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.1648563532,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000,0,0
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0286687927,49.1361875605,33.3333333333,15.7601765007,1.0000000000,0.8824000000,226.6545784225,0,0
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.1139336570,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0916797535,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0694258500,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0471719465,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0320318426,49.0151401039,16.6666666667,15.5201899589,1.0000000000,0.8848000000,226.0397830018,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9928020274,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9704639509,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9481258744,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9257877979,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,48.8918751177,11.1111111111,15.2801758504,1.0000000000,0.8872000000,225.4283137962,0,0
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8707998435,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8497245692,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8286492949,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8075740206,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,48.7768862865,33.3333333333,15.7602224199,1.0000000000,0.8824000000,226.6545784225,0,0
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7528055343,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7287247820,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7046440298,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.6805632776,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,48.6493103767,16.6666666667,15.5201807564,1.0000000000,0.8848000000,226.0397830018,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.6276834676,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.6060565586,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5844296496,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5628027405,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
