Node,Death_Round
0,2131
1,2221
2,2071
3,1991
4,2077
5,2250
6,1970
7,2131
8,1751
9,2050
10,1961
11,1937
12,1855
13,1981
14,1698
15,1931
16,2001
17,2251
18,2101
19,2131
20,1951
21,2169
22,1981
23,2039
24,1920
25,1951
26,2021
27,2191
28,1891
29,2201
30,1741
31,2101
32,2071
33,2091
34,2191
35,1741
36,2259
37,2241
38,1540
39,2061
40,2001
41,2151
42,2230
43,2189
44,2141
45,2141
46,1561
47,2201
48,1651
49,2131
50,2180
51,1872
52,2121
53,2241
54,2231
55,2081
56,1737
57,2171
58,2221
59,2251
60,2081
61,1758
62,2161
63,1751
64,1981
65,2221
66,2251
67,2140
68,1980
69,2150
70,2091
71,2100
72,2121
73,2021
74,2061
75,1941
76,2141
77,1951
78,1931
79,2201
80,2153
81,2219
82,2211
83,1819
84,1944
85,2090
86,2061
87,2191
88,1955
89,1911
90,2181
91,2091
92,2031
93,2181
94,2211
95,2101
96,2171
97,1646
98,2101
99,2021
