Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0369995484,49.9630004516,8.3333333333,15.0401732312,1.0000000000,0.8888000000,225.0225022502,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9420805495,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9211606473,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9002407452,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8793208431,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
6,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8584009410,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
7,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8374810389,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
8,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8165611368,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
9,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7956412347,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
10,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7747213325,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
11,100,0,11,100,100,0,0,1,111,1267,100,100,0.0357292805,49.7389920520,9.0909090909,15.1201765726,1.0000000000,0.8888000000,225.0225022502,0,0
12,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7182502925,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
13,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6975085330,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
14,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6767667735,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
15,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6560250140,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
16,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6352832545,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
17,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6145414950,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
18,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5937997355,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
19,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5730579760,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
20,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5523162165,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
21,100,0,5,100,100,0,0,1,105,685,100,100,0.0306881554,49.5216280611,20.0000000000,15.6001930093,1.0000000000,0.8840000000,226.2443438914,0,0
22,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.4995177347,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
23,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.4774074084,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
24,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.4552970821,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
25,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.4331867558,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
26,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.4110764295,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.3889661032,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.3668557768,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.3447454505,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.3226351242,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
31,100,0,6,100,100,0,0,1,106,782,100,100,0.0312240700,49.2914110541,16.6666666667,15.5202124962,1.0000000000,0.8848000000,226.0397830018,0,0
32,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.2697976803,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
33,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.2481843064,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
34,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.2265709326,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
35,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.2049575587,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
36,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.1833441848,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
37,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.1617308110,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
38,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.1401174371,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
39,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.1185040632,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
40,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.0968906894,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0317579409,49.0651327485,16.6666666667,15.5201869491,1.0000000000,0.8848000000,226.0397830018,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.0430474714,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.0209621943,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9988769173,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9767916402,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
46,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9547063631,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
47,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9326210861,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
48,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9105358090,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
49,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.8884505319,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.8663652549,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,5,100,100,0,0,1,105,685,100,100,0.0306026863,48.8357625686,20.0000000000,15.6001849837,1.0000000000,0.8840000000,226.2443438914,0,0
52,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.8137330719,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7917035753,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7696740786,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7476445819,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7256150853,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
57,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7035855886,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6815560919,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6595265953,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6374970986,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000,0,0
