Node,Death_Round
0,1947
1,1951
2,1986
3,1681
4,2001
5,2011
6,1791
7,1861
8,1973
9,1961
10,1946
11,1916
12,1921
13,1886
14,1941
15,1736
16,1853
17,1936
18,2005
19,1956
20,1771
21,1761
22,1831
23,1790
24,1680
25,1839
26,1836
27,1916
28,1706
29,2001
30,1768
31,1946
32,1916
33,1981
34,1936
35,1686
36,1906
37,1981
38,1761
39,1881
40,1646
41,1866
42,1981
43,1931
44,1936
45,2001
46,1916
47,1956
48,2016
49,1999
50,2006
51,1911
52,1656
53,1946
54,1868
55,2006
56,1631
57,1986
58,2011
59,1996
60,1936
61,1926
62,1831
63,1581
64,1641
65,1940
66,1806
67,1936
68,1591
69,1906
70,1971
71,1916
72,1906
73,2011
74,2016
75,1941
76,1656
77,1956
78,1896
79,1731
80,1846
81,1766
82,1996
83,1576
84,1945
85,1951
86,1936
87,2001
88,1841
89,1601
90,1976
91,1861
92,1415
93,1886
94,1889
95,2011
96,1901
97,1951
98,1924
99,1994
