Node,Death_Round
0,1761
1,1846
2,1907
3,1853
4,1881
5,1761
6,1650
7,1771
8,1871
9,1791
10,1791
11,1816
12,1927
13,1856
14,1711
15,1824
16,1901
17,1727
18,1951
19,1891
20,1641
21,1861
22,1685
23,1791
24,1796
25,1839
26,1536
27,1884
28,1923
29,1936
30,1741
31,1891
32,1861
33,1849
34,1902
35,1521
36,1651
37,1720
38,1917
39,1481
40,1756
41,1726
42,1741
43,1921
44,1947
45,1805
46,1816
47,1841
48,1841
49,1766
50,1870
51,1871
52,1835
53,1756
54,1876
55,1931
56,1672
57,1886
58,1898
59,1931
60,1936
61,1601
62,1816
63,1505
64,1915
65,1844
66,1671
67,1711
68,1745
69,1781
70,1864
71,1763
72,1888
73,1630
74,1806
75,1769
76,1916
77,1491
78,1666
79,1961
80,1819
81,1796
82,1829
83,1706
84,1894
85,1781
86,1881
87,1956
88,1641
89,1811
90,1941
91,1711
92,1656
93,1671
94,1666
95,1886
96,1861
97,1746
98,1815
99,1794
