Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions,Routing_Repairs,Partial_Promotions,Emergency_Promotions
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0401523777,49.9448226223,8.3333333333,8.0000551061,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0240727314,49.9207498909,8.3333333333,8.0000551061,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0240727314,49.8966771595,8.3333333333,8.0000551061,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0240727314,49.8726044280,8.3333333333,8.0000551061,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0240727314,49.8485316966,8.3333333333,8.0000551061,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0385650705,49.8099666261,9.0909090909,8.0000519892,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775495,49.7863890766,9.0909090909,8.0000519892,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775495,49.7628115270,9.0909090909,8.0000519892,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775495,49.7392339775,9.0909090909,8.0000519892,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775495,49.7156564280,9.0909090909,8.0000519892,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0317428922,49.6839135357,20.0000000000,8.0000807299,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0231650631,49.6607484726,20.0000000000,8.0000807299,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0231650631,49.6375834095,20.0000000000,8.0000807299,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0231650631,49.6144183463,20.0000000000,8.0000807299,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0231650631,49.5912532832,20.0000000000,8.0000807299,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0326897604,49.5585635228,16.6666666667,8.0000705255,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,0
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0230790642,49.5354844587,16.6666666667,8.0000705255,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0230790642,49.5124053945,16.6666666667,8.0000705255,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0230790642,49.4893263303,16.6666666667,8.0000705255,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0230790642,49.4662472661,16.6666666667,8.0000705255,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0332399505,49.4330073157,16.6666666667,8.0000779422,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0235672866,49.4094400291,16.6666666667,8.0000779422,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0235672866,49.3858727424,16.6666666667,8.0000779422,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0235672866,49.3623054558,16.6666666667,8.0000779422,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0235672866,49.3387381692,16.6666666667,8.0000779422,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0320059105,49.3067322586,20.0000000000,8.0000826021,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0234327209,49.2832995377,20.0000000000,8.0000826021,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0234327209,49.2598668168,20.0000000000,8.0000826021,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0234327209,49.2364340959,20.0000000000,8.0000826021,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0234327209,49.2130013749,20.0000000000,8.0000826021,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0372057015,49.1757956734,10.0000000000,8.0000631943,1.0000000000,0.8880000000,225.2252252252,0,0,0,0,0
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0232706703,49.1525250031,10.0000000000,8.0000631943,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0232706703,49.1292543328,10.0000000000,8.0000631943,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0232706703,49.1059836625,10.0000000000,8.0000631943,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0232706703,49.0827129922,10.0000000000,8.0000631943,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0296948828,49.0530181094,33.3333333333,8.0000853298,1.0000000000,0.8824000000,226.6545784225,0,0,0,0,0
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0232799936,49.0297381158,33.3333333333,8.0000853298,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0232799936,49.0064581222,33.3333333333,8.0000853298,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0232799936,48.9831781286,33.3333333333,8.0000853298,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0232799936,48.9598981349,33.3333333333,8.0000853298,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0334576233,48.9264405116,16.6666666667,8.0000864730,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0237638572,48.9026766544,16.6666666667,8.0000864730,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0237638572,48.8789127971,16.6666666667,8.0000864730,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0237638572,48.8551489399,16.6666666667,8.0000864730,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0237638572,48.8313850826,16.6666666667,8.0000864730,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0362242137,48.7951608690,11.1111111111,8.0000578153,1.0000000000,0.8872000000,225.4283137962,0,0,0,0,0
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0233868078,48.7717740611,11.1111111111,8.0000578153,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0233868078,48.7483872533,11.1111111111,8.0000578153,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0233868078,48.7250004455,11.1111111111,8.0000578153,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0233868078,48.7016136376,11.1111111111,8.0000578153,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0313740739,48.6702395638,33.3333333333,8.0001193744,1.0000000000,0.8824000000,226.6545784225,0,0,0,0,0
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0247670920,48.6454724718,33.3333333333,8.0001193744,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0247670920,48.6207053798,33.3333333333,8.0001193744,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0247670920,48.5959382878,33.3333333333,8.0001193744,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0247670920,48.5711711958,33.3333333333,8.0001193744,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0333212350,48.5378499608,16.6666666667,8.0000716464,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0236952431,48.5141547178,16.6666666667,8.0000716464,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0236952431,48.4904594747,16.6666666667,8.0000716464,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0236952431,48.4667642316,16.6666666667,8.0000716464,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0236952431,48.4430689886,16.6666666667,8.0000716464,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0301284267,48.4129405619,33.3333333333,8.0000919369,1.0000000000,0.8824000000,226.6545784225,0,0,0,0,0
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0236938830,48.3892466789,33.3333333333,8.0000919369,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0236938830,48.3655527959,33.3333333333,8.0000919369,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0236938830,48.3418589130,33.3333333333,8.0000919369,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0236938830,48.3181650300,33.3333333333,8.0000919369,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0295274025,48.2886376275,50.0000000000,8.0001136080,1.0000000000,0.8816000000,226.8602540835,0,0,0,0,0
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0240718105,48.2645658169,50.0000000000,8.0001136080,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0240718105,48.2404940064,50.0000000000,8.0001136080,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0240718105,48.2164221959,50.0000000000,8.0001136080,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0240718105,48.1923503854,50.0000000000,8.0001136080,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0310609501,48.1612894353,25.0000000000,8.0000877474,1.0000000000,0.8832000000,226.4492753623,0,0,0,0,0
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0235289681,48.1377604672,25.0000000000,8.0000877474,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0235289681,48.1142314992,25.0000000000,8.0000877474,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0235289681,48.0907025311,25.0000000000,8.0000877474,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0235289681,48.0671735630,25.0000000000,8.0000877474,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,48.0345813178,100.0000000000,8.0001769980,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.0067845957,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9789878736,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9511911516,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9233944295,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0345922635,47.8888021660,100.0000000000,8.0001935711,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.8591940288,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.8295858917,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.7999777545,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.7703696173,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0299886215,47.7403809958,100.0000000000,8.0001458165,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.7149423758,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6895037558,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6640651359,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6386265159,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0316749158,47.6069516001,20.0000000000,8.0000743805,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0231303103,47.5838212897,20.0000000000,8.0000743805,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0231303103,47.5606909794,20.0000000000,8.0000743805,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0231303103,47.5375606690,20.0000000000,8.0000743805,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0231303103,47.5144303587,20.0000000000,8.0000743805,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0336852790,47.4807450797,100.0000000000,8.0001859575,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.4519564073,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.4231677350,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.3943790626,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.3655903902,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
101,100,0,11,100,100,0,0,1,110,1267,100,100,0.0383103871,47.3272800031,9.0909090909,8.0000558843,1.0000000000,0.8880000000,225.2252252252,0,0,0,0,0
102,100,0,11,100,100,0,0,0,0,0,100,100,0.0233262099,47.3039537932,9.0909090909,8.0000558843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
103,100,0,11,100,100,0,0,0,0,0,100,100,0.0233262099,47.2806275833,9.0909090909,8.0000558843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
104,100,0,11,100,100,0,0,0,0,0,100,100,0.0233262099,47.2573013734,9.0909090909,8.0000558843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
105,100,0,11,100,100,0,0,0,0,0,100,100,0.0233262099,47.2339751635,9.0909090909,8.0000558843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
106,100,0,11,100,100,0,0,1,111,1267,100,100,0.0384796394,47.1954955241,9.0909090909,8.0000497814,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
107,100,0,11,100,100,0,0,0,0,0,100,100,0.0234916554,47.1720038687,9.0909090909,8.0000497814,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
108,100,0,11,100,100,0,0,0,0,0,100,100,0.0234916554,47.1485122133,9.0909090909,8.0000497814,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
109,100,0,11,100,100,0,0,0,0,0,100,100,0.0234916554,47.1250205579,9.0909090909,8.0000497814,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
110,100,0,11,100,100,0,0,0,0,0,100,100,0.0234916554,47.1015289025,9.0909090909,8.0000497814,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0352267321,47.0663021703,12.5000000000,8.0000718182,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0234351678,47.0428670025,12.5000000000,8.0000718182,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0234351678,47.0194318347,12.5000000000,8.0000718182,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0234351678,46.9959966669,12.5000000000,8.0000718182,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0234351678,46.9725614991,12.5000000000,8.0000718182,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
116,100,0,8,100,100,0,0,1,108,976,100,100,0.0348367053,46.9377247938,12.5000000000,8.0000584434,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
117,100,0,8,100,100,0,0,0,0,0,100,100,0.0230842082,46.9146405855,12.5000000000,8.0000584434,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
118,100,0,8,100,100,0,0,0,0,0,100,100,0.0230842082,46.8915563773,12.5000000000,8.0000584434,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
119,100,0,8,100,100,0,0,0,0,0,100,100,0.0230842082,46.8684721691,12.5000000000,8.0000584434,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
120,100,0,8,100,100,0,0,0,0,0,100,100,0.0230842082,46.8453879608,12.5000000000,8.0000584434,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
121,100,0,4,100,100,0,0,1,104,588,100,100,0.0305868768,46.8148010840,25.0000000000,8.0000784178,1.0000000000,0.8832000000,226.4492753623,0,0,0,0,0
122,100,0,4,100,100,0,0,0,0,0,100,100,0.0230967855,46.7917042985,25.0000000000,8.0000784178,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
123,100,0,4,100,100,0,0,0,0,0,100,100,0.0230967855,46.7686075129,25.0000000000,8.0000784178,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
124,100,0,4,100,100,0,0,0,0,0,100,100,0.0230967855,46.7455107274,25.0000000000,8.0000784178,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
125,100,0,4,100,100,0,0,0,0,0,100,100,0.0230967855,46.7224139419,25.0000000000,8.0000784178,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
126,100,0,8,100,100,0,0,1,108,976,100,100,0.0348965105,46.6875174314,12.5000000000,8.0000576934,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
127,100,0,8,100,100,0,0,0,0,0,100,100,0.0231443680,46.6643730634,12.5000000000,8.0000576934,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
128,100,0,8,100,100,0,0,0,0,0,100,100,0.0231443680,46.6412286954,12.5000000000,8.0000576934,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
129,100,0,8,100,100,0,0,0,0,0,100,100,0.0231443680,46.6180843274,12.5000000000,8.0000576934,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
130,100,0,8,100,100,0,0,0,0,0,100,100,0.0231443680,46.5949399594,12.5000000000,8.0000576934,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
131,100,0,4,100,100,0,0,1,104,588,100,100,0.0310946606,46.5638452989,25.0000000000,8.0000967577,1.0000000000,0.8832000000,226.4492753623,0,0,0,0,0
132,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.5402873464,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
133,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.5167293939,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
134,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4931714415,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
135,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4696134890,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
136,100,0,5,100,100,0,0,1,105,685,100,100,0.0328924020,46.4367210871,20.0000000000,8.0000942488,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
137,100,0,5,100,100,0,0,0,0,0,100,100,0.0242395249,46.4124815622,20.0000000000,8.0000942488,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
138,100,0,5,100,100,0,0,0,0,0,100,100,0.0242395249,46.3882420372,20.0000000000,8.0000942488,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
139,100,0,5,100,100,0,0,0,0,0,100,100,0.0242395249,46.3640025123,20.0000000000,8.0000942488,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
140,100,0,5,100,100,0,0,0,0,0,100,100,0.0242395249,46.3397629874,20.0000000000,8.0000942488,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
141,100,0,7,100,100,0,0,1,107,879,100,100,0.0343495136,46.3054134738,14.2857142857,8.0000682156,1.0000000000,0.8856000000,225.8355916893,0,0,0,0,0
142,100,0,7,100,100,0,0,0,0,0,100,100,0.0236541741,46.2817592997,14.2857142857,8.0000682156,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
143,100,0,7,100,100,0,0,0,0,0,100,100,0.0236541741,46.2581051256,14.2857142857,8.0000682156,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
144,100,0,7,100,100,0,0,0,0,0,100,100,0.0236541741,46.2344509516,14.2857142857,8.0000682156,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
145,100,0,7,100,100,0,0,0,0,0,100,100,0.0236541741,46.2107967775,14.2857142857,8.0000682156,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
146,100,0,7,100,100,0,0,1,107,879,100,100,0.0336962552,46.1771005223,14.2857142857,8.0000670326,1.0000000000,0.8856000000,225.8355916893,0,0,0,0,0
147,100,0,7,100,100,0,0,0,0,0,100,100,0.0229998502,46.1541006721,14.2857142857,8.0000670326,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
148,100,0,7,100,100,0,0,0,0,0,100,100,0.0229998502,46.1311008220,14.2857142857,8.0000670326,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
