Node,Death_Round
0,2129
1,1981
2,1891
3,1671
4,2071
5,2121
6,2011
7,1921
8,2081
9,1890
10,2101
11,1588
12,1911
13,2071
14,2060
15,1901
16,2041
17,2151
18,2171
19,2121
20,1981
21,1811
22,2193
23,1921
24,2101
25,2011
26,1495
27,1908
28,1741
29,2111
30,1971
31,2029
32,1868
33,2001
34,1951
35,1607
36,2131
37,2131
38,1823
39,2101
40,1993
41,1631
42,2151
43,2111
44,1871
45,2038
46,1671
47,2121
48,1791
49,2011
50,2001
51,1709
52,1637
53,2111
54,1861
55,1991
56,1751
57,2001
58,2168
59,1851
60,2131
61,1655
62,1421
63,1771
64,2070
65,2051
66,1518
67,1982
68,1615
69,2101
70,2101
71,2001
72,1991
73,2100
74,1841
75,1871
76,1758
77,2061
78,1951
79,1747
80,2109
81,1951
82,2181
83,1881
84,2121
85,1935
86,2021
87,2080
88,1911
89,2171
90,2191
91,1627
92,1671
93,2089
94,1681
95,2174
96,1521
97,1881
98,2041
99,2001
