Node,Death_Round
0,1881
1,1936
2,1981
3,1836
4,1846
5,1960
6,1899
7,1946
8,1936
9,1991
10,1936
11,1584
12,1976
13,1774
14,1716
15,1644
16,1796
17,2001
18,1995
19,1981
20,1776
21,2001
22,1890
23,1911
24,1769
25,2006
26,1596
27,1739
28,1910
29,2001
30,1766
31,1771
32,1981
33,1941
34,1851
35,1696
36,1916
37,1921
38,1831
39,1759
40,1626
41,1801
42,1855
43,1976
44,1956
45,1916
46,1861
47,1871
48,1686
49,1965
50,1936
51,1981
52,1695
53,1936
54,1986
55,1996
56,1836
57,1970
58,1821
59,1996
60,1986
61,1761
62,1986
63,1746
64,1706
65,1870
66,1726
67,1996
68,1801
69,1981
70,1981
71,1940
72,1984
73,1884
74,1681
75,1955
76,1886
77,2011
78,1976
79,1866
80,1956
81,1818
82,1990
83,1616
84,1681
85,1956
86,1906
87,1906
88,1935
89,1851
90,1975
91,1936
92,1521
93,1906
94,1856
95,1846
96,1914
97,1966
98,1981
99,1726
