Node,Death_Round
0,1716
1,1826
2,1875
3,1848
4,1886
5,1556
6,1521
7,1643
8,1856
9,1741
10,1731
11,1801
12,1834
13,1882
14,1409
15,1696
16,1611
17,1766
18,1886
19,1766
20,1781
21,1891
22,1866
23,1878
24,1896
25,1836
26,1771
27,1836
28,1776
29,1766
30,1601
31,1778
32,1871
33,1736
34,1871
35,1716
36,1863
37,1872
38,1756
39,1801
40,1891
41,1556
42,1870
43,1896
44,1906
45,1857
46,1726
47,1716
48,1666
49,1841
50,1891
51,1871
52,1677
53,1731
54,1901
55,1741
56,1736
57,1830
58,1831
59,1750
60,1851
61,1884
62,1791
63,1826
64,1796
65,1836
66,1740
67,1887
68,1451
69,1696
70,1876
71,1776
72,1851
73,1671
74,1543
75,1853
76,1826
77,1881
78,1866
79,1726
80,1856
81,1726
82,1856
83,1896
84,1736
85,1727
86,1785
87,1889
88,1681
89,1746
90,1716
91,1851
92,1801
93,1756
94,1696
95,1860
96,1786
97,1791
98,1901
99,1831
