Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0359854343,49.9640145657,8.3333333333,14.3201677288,1.0000000000,0.8888000000,225.0225022502,0,0,0,9
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0199057880,49.9441087777,8.3333333333,14.3201677288,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0199057880,49.9242029897,8.3333333333,14.3201677288,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0199057880,49.9042972018,8.3333333333,14.3201677288,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0199057880,49.8843914138,8.3333333333,14.3201677288,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0350419477,49.8493494660,9.0909090909,14.6401712334,1.0000000000,0.8888000000,225.0225022502,0,0,0,6
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0200544267,49.8292950393,9.0909090909,14.6401712334,1.0000000000,0.8000000000,250.0000000000,0,0,0,6
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0200544267,49.8092406126,9.0909090909,14.6401712334,1.0000000000,0.8000000000,250.0000000000,0,0,0,6
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0200544267,49.7891861859,9.0909090909,14.6401712334,1.0000000000,0.8000000000,250.0000000000,0,0,0,6
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0200544267,49.7691317592,9.0909090909,14.6401712334,1.0000000000,0.8000000000,250.0000000000,0,0,0,6
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0284315574,49.7407002017,20.0000000000,14.0801685685,1.0000000000,0.8840000000,226.2443438914,0,0,0,19
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0198537283,49.7208464734,20.0000000000,14.0801685685,1.0000000000,0.8000000000,250.0000000000,0,0,0,19
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0198537283,49.7009927451,20.0000000000,14.0801685685,1.0000000000,0.8000000000,250.0000000000,0,0,0,19
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0198537283,49.6811390167,20.0000000000,14.0801685685,1.0000000000,0.8000000000,250.0000000000,0,0,0,19
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0198537283,49.6612852884,20.0000000000,14.0801685685,1.0000000000,0.8000000000,250.0000000000,0,0,0,19
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0288551487,49.6324301397,16.6666666667,13.9201808421,1.0000000000,0.8848000000,226.0397830018,0,0,0,20
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0192444525,49.6131856873,16.6666666667,13.9201808421,1.0000000000,0.8000000000,250.0000000000,0,0,0,20
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0192444525,49.5939412348,16.6666666667,13.9201808421,1.0000000000,0.8000000000,250.0000000000,0,0,0,20
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0192444525,49.5746967823,16.6666666667,13.9201808421,1.0000000000,0.8000000000,250.0000000000,0,0,0,20
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0192444525,49.5554523298,16.6666666667,13.9201808421,1.0000000000,0.8000000000,250.0000000000,0,0,0,20
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0286026214,49.5268497084,16.6666666667,13.4401553741,1.0000000000,0.8848000000,226.0397830018,0,0,0,26
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0189299576,49.5079197509,16.6666666667,13.4401553741,1.0000000000,0.8000000000,250.0000000000,0,0,0,26
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0189299576,49.4889897933,16.6666666667,13.4401553741,1.0000000000,0.8000000000,250.0000000000,0,0,0,26
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0189299576,49.4700598357,16.6666666667,13.4401553741,1.0000000000,0.8000000000,250.0000000000,0,0,0,26
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0189299576,49.4511298782,16.6666666667,13.4401553741,1.0000000000,0.8000000000,250.0000000000,0,0,0,26
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0293424550,49.4217874231,20.0000000000,14.7201761367,1.0000000000,0.8840000000,226.2443438914,0,0,0,11
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0207692654,49.4010181577,20.0000000000,14.7201761367,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0207692654,49.3802488923,20.0000000000,14.7201761367,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0207692654,49.3594796269,20.0000000000,14.7201761367,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0207692654,49.3387103614,20.0000000000,14.7201761367,1.0000000000,0.8000000000,250.0000000000,0,0,0,11
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0331472274,49.3055631340,10.0000000000,13.8401743968,1.0000000000,0.8880000000,225.2252252252,0,0,0,17
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0192121963,49.2863509378,10.0000000000,13.8401743968,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0192121963,49.2671387415,10.0000000000,13.8401743968,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0192121963,49.2479265452,10.0000000000,13.8401743968,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0192121963,49.2287143490,10.0000000000,13.8401743968,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0275032748,49.2012110742,33.3333333333,14.9601644121,1.0000000000,0.8824000000,226.6545784225,0,0,0,10
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0210883856,49.1801226887,33.3333333333,14.9601644121,1.0000000000,0.8000000000,250.0000000000,0,0,0,10
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0210883856,49.1590343031,33.3333333333,14.9601644121,1.0000000000,0.8000000000,250.0000000000,0,0,0,10
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0210883856,49.1379459176,33.3333333333,14.9601644121,1.0000000000,0.8000000000,250.0000000000,0,0,0,10
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0210883856,49.1168575320,33.3333333333,14.9601644121,1.0000000000,0.8000000000,250.0000000000,0,0,0,10
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0282095221,49.0886480099,16.6666666667,12.9601575496,1.0000000000,0.8848000000,226.0397830018,0,0,0,32
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0185157560,49.0701322539,16.6666666667,12.9601575496,1.0000000000,0.8000000000,250.0000000000,0,0,0,32
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0185157560,49.0516164979,16.6666666667,12.9601575496,1.0000000000,0.8000000000,250.0000000000,0,0,0,32
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0185157560,49.0331007419,16.6666666667,12.9601575496,1.0000000000,0.8000000000,250.0000000000,0,0,0,32
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0185157560,49.0145849859,16.6666666667,12.9601575496,1.0000000000,0.8000000000,250.0000000000,0,0,0,32
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0333476728,48.9812373130,11.1111111111,14.8801708199,1.0000000000,0.8872000000,225.4283137962,0,0,0,5
