Node,Death_Round
0,1566
1,1626
2,1531
3,1641
4,1541
5,1576
6,1511
7,1501
8,1646
9,1626
10,1571
11,1546
12,1631
13,1636
14,1641
15,1551
16,1581
17,1536
18,1471
19,1626
20,1481
21,1606
22,1637
23,1556
24,1646
25,1551
26,1631
27,1606
28,1556
29,1621
30,1521
31,1586
32,1636
33,1591
34,1571
35,1541
36,1601
37,1521
38,1631
39,1541
40,1581
41,1596
42,1631
43,1536
44,1536
45,1601
46,1556
47,1627
48,1616
49,1601
50,1591
51,1621
52,1526
53,1646
54,1541
55,1601
56,1586
57,1556
58,1626
59,1606
60,1546
61,1546
62,1526
63,1631
64,1566
65,1526
66,1622
67,1541
68,1636
69,1631
70,1616
71,1616
72,1556
73,1641
74,1621
75,1601
76,1606
77,1616
78,1596
79,1506
80,1551
81,1581
82,1596
83,1521
84,1641
85,1586
86,1481
87,1631
88,1591
89,1601
90,1636
91,1596
92,1566
93,1596
94,1616
95,1631
96,1566
97,1623
98,1441
99,1626
