Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0642171390,49.9357828610,8.3333333333,15.0405641053,1.0000000000,0.8888000000,225.0225022502,0,0,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.8876453684,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.8395078757,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.7913703831,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.7432328904,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0528913727,49.6903415177,9.0909090909,15.1205650531,1.0000000000,0.8888000000,225.0225022502,0,0,0,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.6524376661,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.6145338144,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.5766299628,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.5387261111,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0400296840,49.4986964271,20.0000000000,15.6005889783,1.0000000000,0.8840000000,226.2443438914,0,0,0,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.4672445721,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.4357927172,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.4043408622,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.3728890073,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0392351329,49.3336538744,16.6666666667,15.5205792539,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0296244367,49.3040294376,16.6666666667,15.5205792539,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0296244367,49.2744050009,16.6666666667,15.5205792539,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0296244367,49.2447805642,16.6666666667,15.5205792539,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0296244367,49.2151561274,16.6666666667,15.5205792539,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0427108189,49.1724453086,16.6666666667,15.5206083269,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0330381550,49.1394071535,16.6666666667,15.5206083269,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0330381550,49.1063689985,16.6666666667,15.5206083269,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0330381550,49.0733308435,16.6666666667,15.5206083269,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0330381550,49.0402926884,16.6666666667,15.5206083269,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0406895320,48.9996031564,20.0000000000,15.6006148443,1.0000000000,0.8840000000,226.2443438914,0,0,0,0
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0321163424,48.9674868140,20.0000000000,15.6006148443,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0321163424,48.9353704716,20.0000000000,15.6006148443,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0321163424,48.9032541292,20.0000000000,15.6006148443,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0321163424,48.8711377868,20.0000000000,15.6006148443,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0514296361,48.8197081507,10.0000000000,15.2005775800,1.0000000000,0.8880000000,225.2252252252,0,0,0,0
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0374946050,48.7822135458,10.0000000000,15.2005775800,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0374946050,48.7447189408,10.0000000000,15.2005775800,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0374946050,48.7072243359,10.0000000000,15.2005775800,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0374946050,48.6697297309,10.0000000000,15.2005775800,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0337619179,48.6359678130,33.3333333333,15.7606095453,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.6086207842,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5812737555,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5539267268,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5265796980,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0451149503,48.4814647477,16.6666666667,15.5206190759,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.4460435635,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.4106223792,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.3752011950,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.3397800107,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0445633375,48.2952166732,11.1111111111,15.2805563371,1.0000000000,0.8872000000,225.4283137962,0,0,0,0
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.2634907415,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.2317648098,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.2000388781,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.1683129464,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0390677572,48.1292451892,33.3333333333,15.7607057611,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0967844139,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0643236385,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0318628632,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,47.9994020879,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0422757546,47.9571263333,16.6666666667,15.5205816623,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.9244765707,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8918268080,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8591770453,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8265272826,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0361735105,47.7903537721,33.3333333333,15.7606086527,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
