Node,Death_Round
0,1153
1,1396
2,1398
3,1377
4,1003
5,988
6,1249
7,1395
8,1388
9,970
10,1373
11,1390
12,1396
13,1384
14,1206
15,1313
16,1374
17,1399
18,1391
19,1032
20,1344
21,1386
22,1398
23,1389
24,1380
25,1379
26,1164
27,1380
28,1245
29,1073
30,1251
31,1399
32,1396
33,1380
34,1393
35,1250
36,1178
37,1384
38,1378
39,1383
40,1362
41,1387
42,1181
43,1383
44,1229
45,1387
46,1189
47,979
48,1224
49,1018
50,1324
51,1143
52,1295
53,1180
54,995
55,1128
56,1385
57,1390
58,1382
59,1395
60,1379
61,1351
62,1378
63,1364
64,1393
65,1394
66,1400
67,1162
68,1179
69,1098
70,1388
71,1390
72,1399
73,1194
74,1379
75,1376
76,1297
77,1084
78,1379
79,1254
80,1393
81,1386
82,1392
83,1387
84,1108
85,1381
86,1101
87,1384
88,1017
89,1386
90,1397
91,1348
92,1057
93,1009
94,1113
95,1394
96,1395
97,1338
98,1378
99,1369
