Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,19,100,100,0,0,119,2043,115,115,0.0533926285,49.9262273715,5.2631578947,21.4405543889,1.0000000000,1.0152000000,197.0055161545
2,100,0,20,100,100,0,0,116,2140,114,114,0.0565311615,49.8696962100,5.0000000000,21.0405870489,1.0000000000,1.0048000000,199.0445859873
3,100,0,17,100,100,0,0,114,1849,111,111,0.0523813101,49.8173148999,5.8823529412,20.9605542142,1.0000000000,0.9792000000,204.2483660131
4,100,0,19,100,100,0,0,117,2043,116,116,0.0555433515,49.7617715484,5.2631578947,21.1205586820,1.0000000000,1.0216000000,195.7713390760
5,100,0,11,100,100,0,0,111,1267,109,109,0.0433580089,49.7184135395,9.0909090909,22.4006400508,1.0000000000,0.9608000000,208.1598667777
6,100,0,15,100,100,0,0,114,1655,112,112,0.0469919757,49.6714215638,6.6666666667,21.9205714607,1.0000000000,0.9872000000,202.5931928687
7,100,0,23,100,100,0,0,121,2431,118,118,0.0618878748,49.6095336889,4.3478260870,20.6405702609,1.0000000000,1.0408000000,192.1598770177
8,100,0,14,100,100,0,0,114,1558,110,110,0.0466217511,49.5629119378,7.1428571429,21.2005607302,1.0000000000,0.9712000000,205.9308072488
9,100,0,22,100,100,0,0,120,2334,116,116,0.0595263942,49.5033855436,4.5454545455,20.8805918170,1.0000000000,1.0240000000,195.3125000000
10,100,0,19,100,100,0,0,114,2043,116,116,0.0532186362,49.4501669074,5.2631578947,21.3605602247,1.0000000000,1.0192000000,196.2323390895
11,100,0,18,100,100,0,0,117,1946,113,113,0.0535411837,49.3966257238,5.5555555556,21.0405932436,1.0000000000,0.9976000000,200.4811547715
12,100,0,14,100,100,0,0,114,1558,112,112,0.0481757768,49.3484499469,7.1428571429,22.0005904755,1.0000000000,0.9872000000,202.5931928687
