Node,Death_Round
0,1427
1,1454
2,1453
3,1421
4,1432
5,1431
6,1441
7,1426
8,1435
9,1456
10,1451
11,1442
12,1442
13,1427
14,1440
15,1428
16,1420
17,1439
18,1451
19,1450
20,1443
21,1446
22,1443
23,1453
24,1414
25,1447
26,1437
27,1429
28,1453
29,1433
30,1432
31,1415
32,1444
33,1438
34,1441
35,1449
36,1427
37,1440
38,1423
39,1427
40,1437
41,1445
42,1421
43,1419
44,1457
45,1424
46,1446
47,1442
48,1454
49,1454
50,1457
51,1429
52,1427
53,1420
54,1450
55,1457
56,1436
57,1429
58,1416
59,1419
60,1430
61,1452
62,1456
63,1438
64,1410
65,1418
66,1434
67,1437
68,1428
69,1451
70,1434
71,1423
72,1416
73,1453
74,1420
75,1432
76,1444
77,1449
78,1425
79,1447
80,1437
81,1429
82,1431
83,1434
84,1446
85,1450
86,1444
87,1450
88,1457
89,1457
90,1422
91,1435
92,1437
93,1430
94,1444
95,1455
96,1449
97,1437
98,1448
99,1433
