Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,101,101,0.0344521958,49.9655478042,50.0000000000,16.9607007758,1.0000000000,0.8896000000,224.8201438849
2,100,0,3,100,100,0,0,103,491,101,101,0.0326891170,49.9328586872,33.3333333333,18.0006074518,1.0000000000,0.8904000000,224.6181491465
3,100,0,1,100,100,0,0,101,297,100,100,0.0313934016,49.9014652856,100.0000000000,15.9206365989,1.0000000000,0.8808000000,227.0663033606
4,100,0,3,100,100,0,0,103,491,101,101,0.0331238823,49.8683414033,33.3333333333,19.3605803298,1.0000000000,0.8904000000,224.6181491465
5,100,0,4,100,100,0,0,104,588,102,102,0.0345651550,49.8337762483,25.0000000000,22.8006143050,1.0000000000,0.8992000000,222.4199288256
6,100,0,4,100,100,0,0,104,588,102,102,0.0334494390,49.8003268093,25.0000000000,20.8806139614,1.0000000000,0.8992000000,222.4199288256
7,100,0,7,100,100,0,0,107,879,105,105,0.0367560929,49.7635707165,14.2857142857,21.2005664942,1.0000000000,0.9256000000,216.0760587727
8,100,0,5,100,100,0,0,105,685,103,103,0.0342664662,49.7293042503,20.0000000000,22.4006757283,1.0000000000,0.9080000000,220.2643171806
9,100,0,14,100,100,0,0,113,1558,110,110,0.0475856359,49.6817186145,7.1428571429,20.6405864221,1.0000000000,0.9704000000,206.1005770816
10,100,0,1,100,100,0,0,101,297,100,100,0.0314159533,49.6503026612,100.0000000000,15.9206057971,1.0000000000,0.8808000000,227.0663033606
11,100,0,1,100,100,0,0,101,297,100,100,0.0420827118,49.6082199494,100.0000000000,15.9206262240,1.0000000000,0.8808000000,227.0663033606
12,100,0,1,100,100,0,0,101,297,100,100,0.0308228432,49.5773971062,100.0000000000,15.9205922378,1.0000000000,0.8808000000,227.0663033606
13,100,0,1,100,100,0,0,101,297,100,100,0.0319447502,49.5454523560,100.0000000000,15.9206476096,1.0000000000,0.8808000000,227.0663033606
14,100,0,1,100,100,0,0,101,297,100,100,0.0370895643,49.5083627917,100.0000000000,15.9207106889,1.0000000000,0.8808000000,227.0663033606
15,100,0,1,100,100,0,0,101,297,100,100,0.0305915093,49.4777712825,100.0000000000,15.9205971140,1.0000000000,0.8808000000,227.0663033606
16,100,0,3,100,100,0,0,103,491,102,102,0.0322787564,49.4454925261,33.3333333333,22.7206407205,1.0000000000,0.8984000000,222.6179875334
17,100,0,4,100,100,0,0,104,588,101,101,0.0352782962,49.4102142299,25.0000000000,18.4006586934,1.0000000000,0.8912000000,224.4165170557
18,100,0,8,100,100,0,0,108,976,106,106,0.0384604444,49.3717537855,12.5000000000,21.9205724740,1.0000000000,0.9344000000,214.0410958904
19,100,0,9,100,100,0,0,109,1073,107,107,0.0395471266,49.3322066589,11.1111111111,21.8406029641,1.0000000000,0.9432000000,212.0441051739
20,100,0,2,100,100,0,0,102,394,101,101,0.0313138330,49.3008928259,50.0000000000,22.8006364253,1.0000000000,0.8896000000,224.8201438849
21,100,0,1,100,100,0,0,101,297,100,100,0.0358342586,49.2650585673,100.0000000000,15.9208054875,1.0000000000,0.8808000000,227.0663033606
22,100,0,1,100,100,0,0,101,297,100,100,0.0351773864,49.2298811809,100.0000000000,15.9206102097,1.0000000000,0.8808000000,227.0663033606
23,100,0,2,100,100,0,0,102,394,101,101,0.0313284107,49.1985527703,50.0000000000,20.8807341923,1.0000000000,0.8896000000,224.8201438849
24,100,0,3,100,100,0,0,103,491,102,102,0.0339589422,49.1645938281,33.3333333333,20.3205915437,1.0000000000,0.8984000000,222.6179875334
25,100,0,2,100,100,0,0,102,394,101,101,0.0314550609,49.1331387672,50.0000000000,21.9205836952,1.0000000000,0.8896000000,224.8201438849
26,100,0,4,100,100,0,0,104,588,104,104,0.0339348082,49.0992039590,25.0000000000,23.2807262689,1.0000000000,0.9152000000,218.5314685315
27,100,0,1,100,100,0,0,101,297,100,100,0.0367197874,49.0624841716,100.0000000000,15.9208194089,1.0000000000,0.8808000000,227.0663033606
28,100,0,5,100,100,0,0,105,685,103,103,0.0341905344,49.0282936372,20.0000000000,21.5206083202,1.0000000000,0.9080000000,220.2643171806
29,100,0,15,100,100,0,0,114,1655,113,113,0.0499526196,48.9783410176,6.6666666667,21.5205917529,1.0000000000,0.9952000000,200.9646302251
30,100,0,1,100,100,0,0,101,297,100,100,0.0303523455,48.9479886720,100.0000000000,15.9206217044,1.0000000000,0.8808000000,227.0663033606
31,100,0,1,100,100,0,0,101,297,100,100,0.0373067561,48.9106819159,100.0000000000,15.9208247396,1.0000000000,0.8808000000,227.0663033606
