Node,Death_Round
0,927
1,628
2,472
3,537
4,1060
5,1304
6,741
7,786
8,748
9,1266
10,676
11,815
12,660
13,560
14,832
15,532
16,670
17,723
18,791
19,1149
20,642
21,782
22,846
23,611
24,608
25,695
26,844
27,708
28,806
29,1335
30,863
31,735
32,643
33,720
34,350
35,685
36,616
37,729
38,556
39,638
40,914
41,781
42,1220
43,691
44,1072
45,562
46,815
47,1271
48,994
49,1200
50,962
51,935
52,738
53,1304
54,1047
55,1375
56,795
57,564
58,577
59,535
60,774
61,569
62,907
63,698
64,765
65,690
66,642
67,1096
68,986
69,1232
70,719
71,690
72,748
73,674
74,565
75,689
76,936
77,938
78,768
79,991
80,565
81,664
82,384
83,852
84,664
85,791
86,971
87,1030
88,966
89,493
90,702
91,900
92,1018
93,1356
94,993
95,559
96,787
97,960
98,688
99,803
