Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,11,100,100,0,0,4,245,2192,100,100,0.0667984843,49.9332015157,9.0909090909,15.1205632432,1.0000000000,0.9960000000,200.8032128514
2,100,0,13,100,100,0,0,4,237,2122,100,100,0.0697529488,49.8634485669,7.6923076923,14.9605634962,1.0000000000,0.9896000000,202.1018593371
3,100,0,10,100,100,0,0,4,249,2294,100,100,0.0641753137,49.7992732532,10.0000000000,15.2005672057,1.0000000000,0.9992000000,200.1601281025
4,100,0,12,100,100,0,0,4,248,2267,100,100,0.0674331107,49.7318401425,8.3333333333,15.0405622384,1.0000000000,0.9984000000,200.3205128205
5,100,0,11,100,100,0,0,4,253,2341,100,100,0.0654268651,49.6664132774,9.0909090909,15.1205614626,1.0000000000,1.0024000000,199.5211492418
6,100,0,10,100,100,0,0,4,245,2241,100,100,0.0609385898,49.6054746876,10.0000000000,15.2005605057,1.0000000000,0.9960000000,200.8032128514
7,100,0,9,100,100,0,0,4,250,2224,100,100,0.0596411069,49.5458335807,11.1111111111,15.2805630255,1.0000000000,1.0000000000,200.0000000000
8,100,0,10,100,100,0,0,4,250,2235,100,100,0.0638044818,49.4820290989,10.0000000000,15.2005689466,1.0000000000,1.0000000000,200.0000000000
9,100,0,11,100,100,0,0,4,245,2238,100,100,0.0628678709,49.4191612280,9.0909090909,15.1205552311,1.0000000000,0.9960000000,200.8032128514
10,100,0,11,100,100,0,0,4,247,2259,100,100,0.0668375589,49.3523236691,9.0909090909,15.1205627642,1.0000000000,0.9976000000,200.4811547715
11,100,0,11,100,100,0,0,4,241,2120,100,100,0.0653068774,49.2870167917,9.0909090909,15.1205565764,1.0000000000,0.9928000000,201.4504431910
12,100,0,11,100,100,0,0,4,237,2104,100,100,0.0622435115,49.2247732802,9.0909090909,15.1205531895,1.0000000000,0.9896000000,202.1018593371
13,100,0,10,100,100,0,0,4,239,2110,100,100,0.0621805727,49.1625927075,10.0000000000,15.2005641381,1.0000000000,0.9912000000,201.7756255044
14,100,0,10,100,100,0,0,4,248,2246,100,100,0.0639011271,49.0986915805,10.0000000000,15.2005635776,1.0000000000,0.9984000000,200.3205128205
15,100,0,10,100,100,0,0,4,236,2090,100,100,0.0636076125,49.0350839679,10.0000000000,15.2005678327,1.0000000000,0.9888000000,202.2653721683
16,100,0,12,100,100,0,0,4,241,2231,100,100,0.0679102368,48.9671737311,8.3333333333,15.0405593404,1.0000000000,0.9928000000,201.4504431910
17,100,0,11,100,100,0,0,4,238,2087,100,100,0.0629070945,48.9042666366,9.0909090909,15.1205620914,1.0000000000,0.9904000000,201.9386106624
18,100,0,11,100,100,0,0,4,236,2099,100,100,0.0660229491,48.8382436874,9.0909090909,15.1205572957,1.0000000000,0.9888000000,202.2653721683
19,100,0,10,100,100,0,0,4,244,2212,100,100,0.0618775478,48.7763661396,10.0000000000,15.2005672217,1.0000000000,0.9952000000,200.9646302251
20,100,0,12,100,100,0,0,4,235,2079,100,100,0.0652645243,48.7111016154,8.3333333333,15.0405653809,1.0000000000,0.9880000000,202.4291497976
21,100,0,11,100,100,0,0,4,245,2143,100,100,0.0641040118,48.6469976035,9.0909090909,15.1205605387,1.0000000000,0.9960000000,200.8032128514
22,100,0,11,100,100,0,0,4,240,2205,100,100,0.0633291055,48.5836684980,9.0909090909,15.1205638413,1.0000000000,0.9920000000,201.6129032258
23,100,0,11,100,100,0,0,4,243,2149,100,100,0.0650489163,48.5186195818,9.0909090909,15.1205684560,1.0000000000,0.9944000000,201.1263073210
24,100,0,12,100,100,0,0,4,243,2150,100,100,0.0649327202,48.4536868616,8.3333333333,15.0405536131,1.0000000000,0.9944000000,201.1263073210
25,100,0,10,100,100,0,0,4,236,2120,100,100,0.0620550493,48.3916318122,10.0000000000,15.2005617009,1.0000000000,0.9888000000,202.2653721683
26,100,0,10,100,100,0,0,4,248,2237,100,100,0.0649501758,48.3266816365,10.0000000000,15.2005629695,1.0000000000,0.9984000000,200.3205128205
27,100,0,13,100,100,0,0,4,241,2120,100,100,0.0684687556,48.2582128809,7.6923076923,14.9605664958,1.0000000000,0.9928000000,201.4504431910
28,100,0,10,100,100,0,0,4,245,2202,100,100,0.0634066364,48.1948062445,10.0000000000,15.2005661097,1.0000000000,0.9960000000,200.8032128514
29,100,0,11,100,100,0,0,4,254,2363,100,100,0.0677197524,48.1270864920,9.0909090909,15.1205657552,1.0000000000,1.0032000000,199.3620414673
30,100,0,12,100,100,0,0,4,244,2171,100,100,0.0648443188,48.0622421732,8.3333333333,15.0405573900,1.0000000000,0.9952000000,200.9646302251
31,100,0,12,100,100,0,0,4,240,2171,100,100,0.0632667759,47.9989753974,8.3333333333,15.0405547195,1.0000000000,0.9920000000,201.6129032258
32,100,0,9,100,100,0,0,4,241,2153,100,100,0.0577527755,47.9412226219,11.1111111111,15.2805650110,1.0000000000,0.9928000000,201.4504431910
33,100,0,9,100,100,0,0,4,246,2248,100,100,0.0613595681,47.8798630537,11.1111111111,15.2805647281,1.0000000000,0.9968000000,200.6420545746
34,100,0,11,100,100,0,0,4,258,2359,100,100,0.0674294313,47.8124336224,9.0909090909,15.1205601217,1.0000000000,1.0064000000,198.7281399046
35,100,0,10,100,100,0,0,4,242,2186,100,100,0.0612071523,47.7512264701,10.0000000000,15.2005645708,1.0000000000,0.9936000000,201.2882447665
36,100,0,11,100,100,0,0,4,250,2318,100,100,0.0658981572,47.6853283129,9.0909090909,15.1205691800,1.0000000000,1.0000000000,200.0000000000
37,100,0,11,100,100,0,0,4,248,2261,100,100,0.0663838460,47.6189444669,9.0909090909,15.1205748276,1.0000000000,0.9984000000,200.3205128205
38,100,0,11,100,100,0,0,4,253,2317,100,100,0.0666282262,47.5523162407,9.0909090909,15.1205632806,1.0000000000,1.0024000000,199.5211492418
