Node,Death_Round
0,942
1,711
2,508
3,557
4,1110
5,1386
6,778
7,781
8,774
9,1303
10,720
11,741
12,652
13,638
14,908
15,615
16,687
17,717
18,746
19,1140
20,767
21,741
22,825
23,675
24,659
25,689
26,874
27,704
28,815
29,1349
30,792
31,716
32,641
33,688
34,407
35,802
36,668
37,691
38,592
39,639
40,848
41,765
42,1284
43,704
44,1008
45,616
46,940
47,1251
48,870
49,1142
50,966
51,957
52,783
53,1292
54,908
55,1302
56,811
57,538
58,582
59,520
60,709
61,668
62,816
63,659
64,797
65,718
66,790
67,1171
68,913
69,1184
70,717
71,660
72,700
73,721
74,627
75,674
76,867
77,884
78,695
79,893
80,589
81,636
82,478
83,808
84,704
85,702
86,1034
87,997
88,1040
89,583
90,686
91,828
92,950
93,1139
94,895
95,563
96,756
97,935
98,723
99,780
