Node,Death_Round
0,1146
1,1150
2,1151
3,1130
4,1161
5,1163
6,1160
7,1142
8,1121
9,1168
10,1145
11,1141
12,1159
13,1133
14,1147
15,1167
16,1171
17,1169
18,1163
19,1169
20,1174
21,1152
22,1143
23,1133
24,1150
25,1170
26,1170
27,1160
28,1165
29,1166
30,1153
31,1158
32,1133
33,1162
34,1172
35,1171
36,1161
37,1169
38,1138
39,1135
40,1155
41,1142
42,1146
43,1156
44,1169
45,1144
46,1126
47,1147
48,1160
49,1154
50,1170
51,1141
52,1154
53,1169
54,1162
55,1153
56,1145
57,1156
58,1146
59,1168
60,1131
61,1157
62,1137
63,1157
64,1144
65,1139
66,1161
67,1149
68,1158
69,1141
70,1154
71,1128
72,1168
73,1172
74,1153
75,1136
76,1173
77,1140
78,1165
79,1150
80,1172
81,1158
82,1155
83,1165
84,1161
85,1147
86,1166
87,1164
88,1154
89,1169
90,1161
91,1164
92,1163
93,1160
94,1158
95,1173
96,1132
97,1167
98,1145
99,1129
