Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,1,1,100,100,0,100,100,0.0376476260,49.9623523740,15.9206097504,1.0000000000,0.8000000000,250.0000000000
2,100,0,16,0,100,100,0,100,100,0.0650873516,49.8972650224,14.7205510648,1.0000000000,0.8000000000,250.0000000000
3,100,0,10,0,100,100,0,100,100,0.0594265195,49.8378385029,15.2005759663,1.0000000000,0.8000000000,250.0000000000
4,100,0,8,0,100,100,0,100,100,0.0460863073,49.7917521956,15.3605812763,1.0000000000,0.8000000000,250.0000000000
5,100,0,14,0,100,100,0,100,100,0.0588475821,49.7329046135,14.8805624257,1.0000000000,0.8000000000,250.0000000000
6,100,0,13,0,100,100,0,100,100,0.0599228127,49.6729818008,14.9605696472,1.0000000000,0.8000000000,250.0000000000
7,100,0,23,0,100,100,0,100,100,0.0894780146,49.5835037861,14.1605386354,1.0000000000,0.8000000000,250.0000000000
8,100,0,29,0,100,100,0,100,100,0.0894925978,49.4940111884,13.6805416091,1.0000000000,0.8000000000,250.0000000000
9,100,0,51,0,100,100,0,100,100,0.1315578928,49.3624532956,11.9205290509,1.0000000000,0.8000000000,250.0000000000
10,100,0,7,0,100,100,0,100,100,0.0387729044,49.3236803912,15.4405523307,1.0000000000,0.8000000000,250.0000000000
11,100,0,8,0,100,100,0,100,100,0.0401924057,49.2834879854,15.3605563277,1.0000000000,0.8000000000,250.0000000000
12,100,0,7,0,100,100,0,100,100,0.0399193941,49.2435685913,15.4405584667,1.0000000000,0.8000000000,250.0000000000
13,100,0,8,0,100,100,0,100,100,0.0436189051,49.1999496862,15.3605591508,1.0000000000,0.8000000000,250.0000000000
14,100,0,10,0,100,100,0,100,100,0.0498648612,49.1500848250,15.2005596504,1.0000000000,0.8000000000,250.0000000000
15,100,0,8,0,100,100,0,100,100,0.0467246089,49.1033602161,15.3605768257,1.0000000000,0.8000000000,250.0000000000
16,100,0,17,0,100,100,0,100,100,0.0755394145,49.0278208017,14.6405535272,1.0000000000,0.8000000000,250.0000000000
