Node,Death_Round
0,1255
1,1226
2,1273
3,1253
4,1256
5,1259
6,1276
7,1262
8,1243
9,1252
10,1272
11,1264
12,1249
13,1249
14,1273
15,1275
16,1278
17,1244
18,1249
19,1270
20,1274
21,1261
22,1265
23,1263
24,1271
25,1246
26,1270
27,1254
28,1272
29,1270
30,1272
31,1264
32,1276
33,1224
34,1265
35,1269
36,1261
37,1277
38,1262
39,1256
40,1260
41,1273
42,1230
43,1229
44,1237
45,1251
46,1278
47,1231
48,1271
49,1227
50,1245
51,1265
52,1278
53,1274
54,1266
55,1249
56,1267
57,1269
58,1253
59,1275
60,1225
61,1274
62,1257
63,1252
64,1254
65,1270
66,1276
67,1237
68,1267
69,1268
70,1274
71,1219
72,1274
73,1271
74,1250
75,1262
76,1274
77,1257
78,1244
79,1268
80,1248
81,1261
82,1274
83,1242
84,1259
85,1230
86,1276
87,1259
88,1273
89,1269
90,1257
91,1253
92,1262
93,1265
94,1247
95,1243
96,1245
97,1243
98,1254
99,1265
