Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,14,0,100,100,0,100,100,0.0700633975,49.9299366025,14.8805532908,1.0000000000,0.8000000000,250.0000000000
2,100,0,14,0,100,100,0,100,100,0.0605961387,49.8693404637,14.8805598434,1.0000000000,0.8000000000,250.0000000000
3,100,0,10,0,100,100,0,100,100,0.0625575281,49.8067829356,15.2006063857,1.0000000000,0.8000000000,250.0000000000
4,100,0,8,0,100,100,0,100,100,0.0564734319,49.7503095037,15.3606281837,1.0000000000,0.8000000000,250.0000000000
5,100,0,8,0,100,100,0,100,100,0.0473187155,49.7029907883,15.3605839091,1.0000000000,0.8000000000,250.0000000000
6,100,0,9,0,100,100,0,100,100,0.0448499639,49.6581408244,15.2805564707,1.0000000000,0.8000000000,250.0000000000
7,100,0,8,0,100,100,0,100,100,0.0433765583,49.6147642660,15.3605680514,1.0000000000,0.8000000000,250.0000000000
8,100,0,15,0,100,100,0,100,100,0.0643296082,49.5504346578,14.8005435734,1.0000000000,0.8000000000,250.0000000000
9,100,0,14,0,100,100,0,100,100,0.0604789731,49.4899556848,14.8805601304,1.0000000000,0.8000000000,250.0000000000
10,100,0,1,1,100,100,0,100,100,0.0410396857,49.4489159990,15.9206000274,1.0000000000,0.8000000000,250.0000000000
11,100,0,7,0,100,100,0,100,100,0.0385738776,49.4103421214,15.4405448970,1.0000000000,0.8000000000,250.0000000000
12,100,0,6,0,100,100,0,100,100,0.0394731773,49.3708689441,15.5205620978,1.0000000000,0.8000000000,250.0000000000
13,100,0,9,0,100,100,0,100,100,0.0423081483,49.3285607958,15.2805431923,1.0000000000,0.8000000000,250.0000000000
14,100,0,7,0,100,100,0,100,100,0.0444054764,49.2841553194,15.4405845649,1.0000000000,0.8000000000,250.0000000000
15,100,0,8,0,100,100,0,100,100,0.0410344513,49.2431208681,15.3605582863,1.0000000000,0.8000000000,250.0000000000
16,100,0,9,0,100,100,0,100,100,0.0437727042,49.1993481639,15.2805478788,1.0000000000,0.8000000000,250.0000000000
17,100,0,9,0,100,100,0,100,100,0.0518636866,49.1474844773,15.2805687288,1.0000000000,0.8000000000,250.0000000000
18,100,0,15,0,100,100,0,100,100,0.0728446042,49.0746398731,14.8005998912,1.0000000000,0.8000000000,250.0000000000
19,100,0,18,0,100,100,0,100,100,0.0878482293,48.9867916438,14.5605670056,1.0000000000,0.8000000000,250.0000000000
20,100,0,1,0,100,100,0,100,100,0.0373067561,48.9494848877,15.9208247396,1.0000000000,0.8000000000,250.0000000000
21,100,0,4,0,100,100,0,100,100,0.0372195795,48.9122653082,15.6806044290,1.0000000000,0.8000000000,250.0000000000
22,100,0,5,0,100,100,0,100,100,0.0355641672,48.8767011410,15.6005475327,1.0000000000,0.8000000000,250.0000000000
23,100,0,7,0,100,100,0,100,100,0.0404052524,48.8362958887,15.4405587617,1.0000000000,0.8000000000,250.0000000000
24,100,0,5,0,100,100,0,100,100,0.0360436007,48.8002522880,15.6005614575,1.0000000000,0.8000000000,250.0000000000
25,100,0,5,0,100,100,0,100,100,0.0406830237,48.7595692642,15.6005956455,1.0000000000,0.8000000000,250.0000000000
26,100,0,11,0,100,100,0,100,100,0.0527768813,48.7067923829,15.1205678904,1.0000000000,0.8000000000,250.0000000000
27,100,0,8,0,100,100,0,100,100,0.0470247456,48.6597676373,15.3605802409,1.0000000000,0.8000000000,250.0000000000
28,100,0,8,0,100,100,0,100,100,0.0425079640,48.6172596734,15.3605508521,1.0000000000,0.8000000000,250.0000000000
29,100,0,16,0,100,100,0,100,100,0.0660403436,48.5512193298,14.7205480690,1.0000000000,0.8000000000,250.0000000000
30,100,0,1,0,100,100,0,100,100,0.0353224571,48.5158968727,15.9206293563,1.0000000000,0.8000000000,250.0000000000
31,100,0,3,0,100,100,0,100,100,0.0346016549,48.4812952178,15.7606052571,1.0000000000,0.8000000000,250.0000000000
32,100,0,7,0,100,100,0,100,100,0.0419855595,48.4393096583,15.4405917188,1.0000000000,0.8000000000,250.0000000000
33,100,0,7,0,100,100,0,100,100,0.0430491200,48.3962605383,15.4405904942,1.0000000000,0.8000000000,250.0000000000
34,100,0,10,0,100,100,0,100,100,0.0477693586,48.3484911797,15.2005600266,1.0000000000,0.8000000000,250.0000000000
35,100,0,4,0,100,100,0,100,100,0.0348325897,48.3136585900,15.6805361475,1.0000000000,0.8000000000,250.0000000000
36,100,0,7,0,100,100,0,100,100,0.0446192433,48.2690393467,15.4405704319,1.0000000000,0.8000000000,250.0000000000
37,100,0,7,0,100,100,0,100,100,0.0461033520,48.2229359947,15.4405737164,1.0000000000,0.8000000000,250.0000000000
