Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.0491014813,49.9508985187,16.6666666667,15.5206120807,1.0000000000,0.8840000000,226.2443438914
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.0549860133,49.8959125054,11.1111111111,15.2805998906,1.0000000000,0.8864000000,225.6317689531
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0309359419,49.8649765636,50.0000000000,15.8405913214,1.0000000000,0.8816000000,226.8602540835
4,100,0,5,100,100,0,0,1,105,685,100,100,0.0386863309,49.8262902327,20.0000000000,15.6005934336,1.0000000000,0.8840000000,226.2443438914
5,100,0,4,100,100,0,0,1,104,588,100,100,0.0400763413,49.7862138914,25.0000000000,15.6806305863,1.0000000000,0.8832000000,226.4492753623
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0447957388,49.7414181525,11.1111111111,15.2805560268,1.0000000000,0.8872000000,225.4283137962
7,100,0,3,100,100,0,0,1,103,491,100,100,0.0339279535,49.7074901990,33.3333333333,15.7606121860,1.0000000000,0.8824000000,226.6545784225
8,100,0,4,100,100,0,0,1,104,588,100,100,0.0402907901,49.6671994089,25.0000000000,15.6806156482,1.0000000000,0.8832000000,226.4492753623
9,100,0,4,100,100,0,0,1,104,588,100,100,0.0352544521,49.6319449568,25.0000000000,15.6805908167,1.0000000000,0.8832000000,226.4492753623
10,100,0,4,100,100,0,0,1,104,588,100,100,0.0389775336,49.5929674232,25.0000000000,15.6806353000,1.0000000000,0.8832000000,226.4492753623
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0483503378,49.5446170854,10.0000000000,15.2005498969,1.0000000000,0.8880000000,225.2252252252
12,100,0,3,100,100,0,0,1,103,491,100,100,0.0347056147,49.5099114706,33.3333333333,15.7606425667,1.0000000000,0.8824000000,226.6545784225
13,100,0,8,100,100,0,0,1,108,976,100,100,0.0433102211,49.4666012495,12.5000000000,15.3605605169,1.0000000000,0.8864000000,225.6317689531
14,100,0,7,100,100,0,0,1,107,879,100,100,0.0496356255,49.4169656240,14.2857142857,15.4405964139,1.0000000000,0.8856000000,225.8355916893
15,100,0,6,100,100,0,0,1,106,782,100,100,0.0389395413,49.3780260827,16.6666666667,15.5205688412,1.0000000000,0.8848000000,226.0397830018
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0345234385,49.3435026441,50.0000000000,15.8406716677,1.0000000000,0.8816000000,226.8602540835
17,100,0,4,100,100,0,0,1,104,588,100,100,0.0393383472,49.3041642969,25.0000000000,15.6806152036,1.0000000000,0.8832000000,226.4492753623
18,100,0,3,100,100,0,0,1,103,491,100,100,0.0346640441,49.2695002528,33.3333333333,15.7605950563,1.0000000000,0.8824000000,226.6545784225
