Node,Death_Round
0,2282
1,2041
2,1994
3,2004
4,2291
5,2302
6,2250
7,2147
8,2124
9,2308
10,2009
11,2114
12,2046
13,2110
14,2236
15,2128
16,2017
17,2018
18,2118
19,2303
20,2255
21,2215
22,2164
23,2194
24,1985
25,2026
26,2253
27,2176
28,2242
29,2282
30,2263
31,2005
32,2070
33,2088
34,1928
35,2232
36,2246
37,2007
38,2118
39,2039
40,2239
41,2164
42,2713
43,2061
44,2264
45,2111
46,2131
47,2294
48,2260
49,2276
50,2256
51,2274
52,2215
53,2326
54,2289
55,2318
56,2178
57,2007
58,2021
59,1960
60,1999
61,2231
62,2229
63,2185
64,2177
65,2024
66,2199
67,2272
68,2243
69,2291
70,2025
71,1972
72,2051
73,1374
74,1974
75,1879
76,2175
77,2139
78,2016
79,2225
80,2058
81,2101
82,2361
83,2176
84,2266
85,2014
86,2287
87,2208
88,2255
89,2102
90,2182
91,2223
92,2262
93,2305
94,1812
95,2000
96,2126
97,2225
98,2099
99,2195
