Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,0.0217541361,49.9782458639,800.0031595230,1.0000000000,0.8000000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,0.0244943144,49.9537515495,800.0033886578,1.0000000000,0.8000000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,0.0250322124,49.9287193371,800.0034130050,1.0000000000,0.8000000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,0.0247855957,49.9039337414,800.0034021856,1.0000000000,0.8000000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,0.0216956780,49.8822380634,800.0031480922,1.0000000000,0.8000000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,0.0216014804,49.8606365830,800.0031272125,1.0000000000,0.8000000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,0.0222618812,49.8383747018,800.0032322134,1.0000000000,0.8000000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,0.0231765571,49.8151981448,800.0033127663,1.0000000000,0.8000000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,0.0229643837,49.7922337610,800.0032971364,1.0000000000,0.8000000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,0.0216083211,49.7706254400,800.0031288524,1.0000000000,0.8000000000,250.0000000000,0
11,100,0,100,10,100,100,0,100,100,0.0250195848,49.7456058551,800.0034124640,1.0000000000,0.8000000000,250.0000000000,0
12,100,0,100,11,100,100,0,100,100,0.0233751666,49.7222306885,800.0033262826,1.0000000000,0.8000000000,250.0000000000,0
13,100,0,100,12,100,100,0,100,100,0.0243999184,49.6978307701,800.0033840802,1.0000000000,0.8000000000,250.0000000000,0
14,100,0,100,13,100,100,0,100,100,0.0236419521,49.6741888180,800.0033430384,1.0000000000,0.8000000000,250.0000000000,0
15,100,0,100,14,100,100,0,100,100,0.0221302077,49.6520586103,800.0032165260,1.0000000000,0.8000000000,250.0000000000,0
16,100,0,100,15,100,100,0,100,100,0.0235182124,49.6285403980,800.0033354488,1.0000000000,0.8000000000,250.0000000000,0
17,100,0,100,16,100,100,0,100,100,0.0248036352,49.6037367627,800.0034029958,1.0000000000,0.8000000000,250.0000000000,0
18,100,0,100,17,100,100,0,100,100,0.0248939803,49.5788427824,800.0034070076,1.0000000000,0.8000000000,250.0000000000,0
19,100,0,100,18,100,100,0,100,100,0.0235126975,49.5553300849,800.0033351034,1.0000000000,0.8000000000,250.0000000000,0
20,100,0,100,19,100,100,0,100,100,0.0216704194,49.5336596655,800.0031428236,1.0000000000,0.8000000000,250.0000000000,0
21,100,0,100,20,100,100,0,100,100,0.0222324821,49.5114271834,800.0032288459,1.0000000000,0.8000000000,250.0000000000,0
22,100,0,100,21,100,100,0,100,100,0.0225320501,49.4888951333,800.0032602312,1.0000000000,0.8000000000,250.0000000000,0
23,100,0,100,22,100,100,0,100,100,0.0231066711,49.4657884622,800.0033077651,1.0000000000,0.8000000000,250.0000000000,0
