Node,Death_Round
0,860
1,460
2,438
3,439
4,846
5,859
6,664
7,552
8,606
9,859
10,393
11,485
12,459
13,514
14,694
15,472
16,408
17,390
18,559
19,837
20,646
21,601
22,552
23,553
24,451
25,462
26,726
27,647
28,679
29,860
30,726
31,414
32,493
33,504
34,437
35,713
36,688
37,396
38,510
39,503
40,693
41,530
42,858
43,445
44,749
45,556
46,732
47,855
48,714
49,857
50,694
51,744
52,632
53,861
54,830
55,856
56,586
57,417
58,471
59,420
60,402
61,655
62,658
63,580
64,563
65,443
66,611
67,832
68,640
69,810
70,456
71,432
72,456
73,780
74,547
75,438
76,664
77,771
78,420
79,655
80,449
81,511
82,427
83,596
84,756
85,475
86,859
87,695
88,858
89,518
90,619
91,640
92,788
93,858
94,775
95,441
96,556
97,673
98,527
99,631
