Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,100,100,0.0360602617,49.9639397383,50.0000000000,15.8406984198,1.0000000000,0.8816000000,226.8602540835
2,100,0,1,100,100,0,0,101,297,100,100,0.0347332094,49.9292065289,100.0000000000,15.9206611141,1.0000000000,0.8808000000,227.0663033606
3,100,0,1,100,100,0,0,101,297,100,100,0.0310127500,49.8981937788,100.0000000000,15.9206404831,1.0000000000,0.8808000000,227.0663033606
4,100,0,1,100,100,0,0,101,297,100,100,0.0305941385,49.8675996403,100.0000000000,15.9206220935,1.0000000000,0.8808000000,227.0663033606
5,100,0,2,100,100,0,0,102,394,100,100,0.0358118993,49.8317877410,50.0000000000,15.8407074524,1.0000000000,0.8816000000,226.8602540835
6,100,0,1,100,100,0,0,101,297,100,100,0.0309148192,49.8008729218,100.0000000000,15.9206165884,1.0000000000,0.8808000000,227.0663033606
7,100,0,1,100,100,0,0,101,297,100,100,0.0315374191,49.7693355027,100.0000000000,15.9206172794,1.0000000000,0.8808000000,227.0663033606
8,100,0,1,100,100,0,0,101,297,100,100,0.0319447502,49.7373907525,100.0000000000,15.9206476096,1.0000000000,0.8808000000,227.0663033606
9,100,0,10,100,100,0,0,110,1170,100,100,0.0566794391,49.6807113134,10.0000000000,15.2005797876,1.0000000000,0.8880000000,225.2252252252
10,100,0,13,100,100,0,0,113,1461,100,100,0.0591492267,49.6215620867,7.6923076923,14.9605560720,1.0000000000,0.8904000000,224.6181491465
11,100,0,2,100,100,0,0,102,394,100,100,0.0342845065,49.5872775802,50.0000000000,15.8406828399,1.0000000000,0.8816000000,226.8602540835
12,100,0,2,100,100,0,0,102,394,100,100,0.0364473696,49.5508302105,50.0000000000,15.8407285561,1.0000000000,0.8816000000,226.8602540835
13,100,0,2,100,100,0,0,102,394,100,100,0.0317782000,49.5190520105,50.0000000000,15.8406247539,1.0000000000,0.8816000000,226.8602540835
14,100,0,1,100,100,0,0,101,297,100,100,0.0416775588,49.4773744517,100.0000000000,15.9208783996,1.0000000000,0.8808000000,227.0663033606
15,100,0,14,100,100,0,0,114,1558,100,100,0.0679475275,49.4094269241,7.1428571429,14.8805752654,1.0000000000,0.8912000000,224.4165170557
16,100,0,3,100,100,0,0,103,491,100,100,0.0373832645,49.3720436597,33.3333333333,15.7606505401,1.0000000000,0.8824000000,226.6545784225
17,100,0,1,100,100,0,0,101,297,100,100,0.0335480708,49.3384955888,100.0000000000,15.9205544990,1.0000000000,0.8808000000,227.0663033606
18,100,0,2,100,100,0,0,102,394,100,100,0.0360869606,49.3024086283,50.0000000000,15.8406865863,1.0000000000,0.8816000000,226.8602540835
19,100,0,18,100,100,0,0,116,1946,100,100,0.0794915212,49.2229171070,5.5555555556,14.5605545508,1.0000000000,0.8928000000,224.0143369176
20,100,0,3,100,100,0,0,103,491,100,100,0.0331823739,49.1897347331,33.3333333333,15.7606141524,1.0000000000,0.8824000000,226.6545784225
21,100,0,12,100,100,0,0,112,1364,100,100,0.0553679809,49.1343667522,8.3333333333,15.0405604690,1.0000000000,0.8896000000,224.8201438849
22,100,0,9,100,100,0,0,108,1073,100,100,0.0501905808,49.0841761714,11.1111111111,15.2805747060,1.0000000000,0.8864000000,225.6317689531
23,100,0,8,100,100,0,0,108,976,100,100,0.0492465400,49.0349296315,12.5000000000,15.3605813740,1.0000000000,0.8864000000,225.6317689531
24,100,0,21,100,100,0,0,118,2237,100,100,0.0867515207,48.9481781107,4.7619047619,14.3205445744,1.0000000000,0.8944000000,223.6135957066
25,100,0,7,100,100,0,0,107,879,100,100,0.0535038369,48.8946742738,14.2857142857,15.4406457004,1.0000000000,0.8856000000,225.8355916893
26,100,0,7,100,100,0,0,107,879,100,100,0.0420625782,48.8526116956,14.2857142857,15.4405809186,1.0000000000,0.8856000000,225.8355916893
27,100,0,4,100,100,0,0,104,588,100,100,0.0351439601,48.8174677355,25.0000000000,15.6805605118,1.0000000000,0.8832000000,226.4492753623
28,100,0,3,100,100,0,0,103,491,100,100,0.0414545869,48.7760131486,33.3333333333,15.7607474113,1.0000000000,0.8824000000,226.6545784225
29,100,0,10,100,100,0,0,110,1170,100,100,0.0513822028,48.7246309458,10.0000000000,15.2005585346,1.0000000000,0.8880000000,225.2252252252
30,100,0,6,100,100,0,0,106,782,100,100,0.0413308587,48.6833000871,16.6666666667,15.5205874410,1.0000000000,0.8848000000,226.0397830018
31,100,0,3,100,100,0,0,103,491,100,100,0.0339474583,48.6493526288,33.3333333333,15.7606196002,1.0000000000,0.8824000000,226.6545784225
32,100,0,11,100,100,0,0,111,1267,100,100,0.0556936262,48.5936590025,9.0909090909,15.1205676694,1.0000000000,0.8888000000,225.0225022502
33,100,0,8,100,100,0,0,108,976,100,100,0.0453170388,48.5483419637,12.5000000000,15.3605653244,1.0000000000,0.8864000000,225.6317689531
34,100,0,36,100,100,0,0,127,3692,100,100,0.1330588272,48.4152831365,2.7777777778,13.1205405020,1.0000000000,0.9016000000,221.8278615794
35,100,0,5,100,100,0,0,105,685,100,100,0.0389312082,48.3763519282,20.0000000000,15.6006108035,1.0000000000,0.8840000000,226.2443438914
36,100,0,21,100,100,0,0,119,2237,100,100,0.0867878109,48.2895641174,4.7619047619,14.3205464808,1.0000000000,0.8952000000,223.4137622878
37,100,0,11,100,100,0,0,111,1267,100,100,0.0588231283,48.2307409891,9.0909090909,15.1205724656,1.0000000000,0.8888000000,225.0225022502
38,100,0,11,100,100,0,0,111,1267,100,100,0.0580994842,48.1726415049,9.0909090909,15.1205647594,1.0000000000,0.8888000000,225.0225022502
39,100,0,7,100,100,0,0,107,879,100,100,0.0420990972,48.1305424077,14.2857142857,15.4405536031,1.0000000000,0.8856000000,225.8355916893
40,100,0,17,100,100,0,0,116,1849,100,100,0.0748120123,48.0557303954,5.8823529412,14.6405519552,1.0000000000,0.8928000000,224.0143369176
41,100,0,2,100,100,0,0,102,394,100,100,0.0310423264,48.0246880689,50.0000000000,15.8406007093,1.0000000000,0.8816000000,226.8602540835
42,100,0,35,100,100,0,0,127,3595,100,100,0.1135321953,47.9111558736,2.8571428571,13.2005340384,1.0000000000,0.9016000000,221.8278615794
43,100,0,10,100,100,0,0,109,1170,100,100,0.0493492135,47.8618066601,10.0000000000,15.2005572050,1.0000000000,0.8872000000,225.4283137962
44,100,0,5,100,100,0,0,105,685,100,100,0.0394237791,47.8223828810,20.0000000000,15.6005804211,1.0000000000,0.8840000000,226.2443438914
45,100,0,49,100,100,0,0,123,4953,100,100,0.1536294396,47.6687534414,2.0408163265,12.0805320877,1.0000000000,0.8984000000,222.6179875334
46,100,0,3,100,100,0,0,103,491,100,100,0.0347261718,47.6340272696,33.3333333333,15.7606018340,1.0000000000,0.8824000000,226.6545784225
47,100,0,15,100,100,0,0,113,1655,100,100,0.0702938831,47.5637333865,6.6666666667,14.8005621787,1.0000000000,0.8904000000,224.6181491465
48,100,0,7,100,100,0,0,107,879,100,100,0.0474897748,47.5162436118,14.2857142857,15.4406101217,1.0000000000,0.8856000000,225.8355916893
49,100,0,10,100,100,0,0,110,1170,100,100,0.0544375917,47.4618060201,10.0000000000,15.2005806459,1.0000000000,0.8880000000,225.2252252252
50,100,0,8,100,100,0,0,108,976,100,100,0.0541792003,47.4076268198,12.5000000000,15.3606107340,1.0000000000,0.8864000000,225.6317689531
51,100,0,19,100,100,0,0,113,2043,100,100,0.0878631568,47.3197636631,5.2631578947,14.4805663756,1.0000000000,0.8904000000,224.6181491465
52,100,0,28,100,100,0,0,121,2916,100,100,0.1014380692,47.2183255939,3.5714285714,13.7605462002,1.0000000000,0.8968000000,223.0151650312
53,100,0,5,100,100,0,0,105,685,100,100,0.0382907034,47.1800348904,20.0000000000,15.6005992427,1.0000000000,0.8840000000,226.2443438914
54,100,0,10,100,100,0,0,110,1170,100,100,0.0550052893,47.1250296011,10.0000000000,15.2005707780,1.0000000000,0.8880000000,225.2252252252
55,100,0,12,100,100,0,0,111,1364,100,100,0.0559288223,47.0691007789,8.3333333333,15.0405607076,1.0000000000,0.8888000000,225.0225022502
56,100,0,5,100,100,0,0,104,685,100,100,0.0367133102,47.0323874687,20.0000000000,15.6006011681,1.0000000000,0.8832000000,226.4492753623
57,100,0,24,100,100,0,0,121,2528,100,100,0.0872648823,46.9451225864,4.1666666667,14.0805504994,1.0000000000,0.8968000000,223.0151650312
58,100,0,3,100,100,0,0,103,491,100,100,0.0395347253,46.9055878611,33.3333333333,15.7606631462,1.0000000000,0.8824000000,226.6545784225
59,100,0,5,100,100,0,0,105,685,100,100,0.0400999536,46.8654879076,20.0000000000,15.6006062814,1.0000000000,0.8840000000,226.2443438914
60,100,0,15,100,100,0,0,115,1655,100,100,0.0664007905,46.7990871171,6.6666666667,14.8005549574,1.0000000000,0.8920000000,224.2152466368
61,100,0,6,100,100,0,0,105,782,100,100,0.0470340048,46.7520531123,16.6666666667,15.5206275491,1.0000000000,0.8840000000,226.2443438914
62,100,0,15,100,100,0,0,115,1655,100,100,0.0674392806,46.6846138317,6.6666666667,14.8005555083,1.0000000000,0.8920000000,224.2152466368
63,100,0,8,100,100,0,0,108,976,100,100,0.0503649440,46.6342488876,12.5000000000,15.3605751327,1.0000000000,0.8864000000,225.6317689531
64,100,0,7,100,100,0,0,107,879,100,100,0.0440630620,46.5901858256,14.2857142857,15.4405757539,1.0000000000,0.8856000000,225.8355916893
65,100,0,13,100,100,0,0,113,1461,100,100,0.0577113274,46.5324744983,7.6923076923,14.9605577894,1.0000000000,0.8904000000,224.6181491465
66,100,0,9,100,100,0,0,109,1073,100,100,0.0523319906,46.4801425077,11.1111111111,15.2805643398,1.0000000000,0.8872000000,225.4283137962
67,100,0,12,100,100,0,0,111,1364,100,100,0.0628634708,46.4172790369,8.3333333333,15.0405626627,1.0000000000,0.8888000000,225.0225022502
