Node,Death_Round
0,1433
1,1419
2,1440
3,1455
4,1454
5,1444
6,1437
7,1448
8,1438
9,1428
10,1414
11,1427
12,1416
13,1428
14,1442
15,1425
16,1445
17,1427
18,1453
19,1431
20,1418
21,1430
22,1427
23,1421
24,1447
25,1432
26,1427
27,1453
28,1430
29,1429
30,1426
31,1451
32,1423
33,1435
34,1419
35,1441
36,1425
37,1411
38,1435
39,1431
40,1429
41,1445
42,1451
43,1450
44,1442
45,1429
46,1424
47,1451
48,1447
49,1434
50,1441
51,1440
52,1452
53,1440
54,1430
55,1445
56,1439
57,1445
58,1436
59,1440
60,1437
61,1442
62,1424
63,1439
64,1450
65,1435
66,1420
67,1426
68,1438
69,1412
70,1446
71,1423
72,1428
73,1447
74,1421
75,1438
76,1430
77,1432
78,1448
79,1447
80,1453
81,1440
82,1435
83,1424
84,1443
85,1428
86,1451
87,1446
88,1427
89,1419
90,1425
91,1422
92,1436
93,1444
94,1454
95,1449
96,1435
97,1388
98,1403
99,1443
