Node,Death_Round
0,1641
1,1361
2,1486
3,1251
4,1776
5,1774
6,1551
7,1496
8,1761
9,1791
10,1416
11,1496
12,1486
13,1531
14,1721
15,1426
16,1180
17,1426
18,1671
19,1781
20,1576
21,1576
22,1501
23,1669
24,1441
25,1506
26,1716
27,1796
28,1796
29,2001
30,1696
31,1206
32,1366
33,1576
34,1166
35,1495
36,1706
37,1261
38,1370
39,1276
40,1716
41,1661
42,1781
43,1431
44,1710
45,1381
46,1656
47,1806
48,1446
49,1811
50,1641
51,1765
52,1636
53,1785
54,1786
55,1755
56,1621
57,1311
58,1381
59,1371
60,1311
61,1787
62,1358
63,1391
64,1396
65,1199
66,1529
67,1766
68,1576
69,1794
70,1261
71,1446
72,1486
73,1750
74,1456
75,1297
76,1576
77,1760
78,1246
79,1716
80,1266
81,1381
82,1361
83,1476
84,1696
85,1451
86,1778
87,1766
88,1745
89,1296
90,1636
91,1621
92,1676
93,1786
94,1661
95,1356
96,1641
97,1621
98,1696
99,1497
