Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0642171390,49.9207578610,8.3333333333,15.0405641053,1.0000000000,0.8888000000,225.0225022502
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.8726203684,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.8244828757,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.7763453831,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0481374927,49.7282078904,8.3333333333,15.0405641053,1.0000000000,0.8000000000,250.0000000000
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0528913727,49.6753165177,9.0909090909,15.1205650531,1.0000000000,0.8888000000,225.0225022502
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.6374126661,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.5995088144,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.5616049628,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0379038517,49.5237011111,9.0909090909,15.1205650531,1.0000000000,0.8000000000,250.0000000000
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0400296840,49.4836714271,20.0000000000,15.6005889783,1.0000000000,0.8840000000,226.2443438914
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.4522195721,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0314518549,49.4207677172,20.0000000000,15.6005889783,1.0000000000,0.8000000000,250.0000000000
