Node,Death_Round
0,1736
1,1376
2,1486
3,1246
4,1773
5,1805
6,1581
7,1481
8,1476
9,1806
10,1276
11,1606
12,1496
13,1426
14,1706
15,1426
16,1401
17,1351
18,1571
19,1811
20,1335
21,1464
22,1719
23,1686
24,1336
25,1531
26,1716
27,1791
28,1682
29,1905
30,1797
31,1216
32,1321
33,1551
34,1161
35,1441
36,1756
37,1261
38,1486
39,1291
40,1536
41,1651
42,1816
43,1536
44,1777
45,1381
46,1551
47,1815
48,1516
49,1746
50,1769
51,1591
52,1801
53,1796
54,1740
55,1811
56,1245
57,1456
58,1391
59,1381
60,1321
61,1681
62,1491
63,1481
64,1411
65,1321
66,1536
67,1787
68,1701
69,1721
70,1371
71,1466
72,1491
73,1782
74,1516
75,1346
76,1729
77,1811
78,1246
79,1736
80,1381
81,1381
82,1351
83,1731
84,1566
85,1383
86,1771
87,1716
88,1606
89,1314
90,1792
91,1611
92,1631
93,1791
94,1741
95,1265
96,1636
97,1591
98,1441
99,1356
