group,run,FND,HND,LND,PDR
1_ORIGINAL,eechheed_ORIGINAL,1121,1954,3783,0.997831
1_ORIGINAL,heed_ORIGINAL,734,1384,2259,0.997956
1_ORIGINAL,hleach_ORIGINAL,1078,1157,1207,0.950353
1_ORIGINAL,leach_ORIGINAL,1035,1152,1327,0.986211
1_ORIGINAL,pegasis_ORIGINAL,1616,2017,2186,0.988595
1_ORIGINAL,shleach_ORIGINAL,484,583,689,0.996585
2_EDITED,eechheed_EDITED,1311,1382,1545,0.997400
2_EDITED,heed_EDITED,634,1216,1883,0.996845
2_EDITED,heed_fairness_EDITED,743,1154,1960,0.997395
2_EDITED,hleach_EDITED,1384,1419,1434,0.992968
2_EDITED,leach_EDITED,1383,1586,1842,0.993952
2_EDITED,pegasis_EDITED,1324,2352,3504,0.994186
2_EDITED,shleach_EDITED,647,702,721,0.985844
3_IMPROVED,eechheed_IMPROVED,1368,1385,1767,0.995064
3_IMPROVED,hleach_IMPROVED,1473,1509,1525,0.993617
3_IMPROVED,shleach_IMPROVED,1480,1542,1558,0.992063
4_PROPOSED,v1_heed_election_leach_join,322,530,1217,0.997502
4_PROPOSED,v2_fairness_penalty,338,528,1276,0.996435
4_PROPOSED,v3_single_pass_reuse_int5,1645,2011,2205,0.982072
4_PROPOSED,v4_reuse_int15,1438,2206,2476,0.959074
4_PROPOSED,v5_backup_int15,1438,2131,2401,0.984413
4_PROPOSED,v5x_backup_repair_int5,1645,2006,2101,0.988220
4_PROPOSED,v5x_backup_repair_int10,1540,2091,2251,0.986576
4_PROPOSED,v5b_energy_aware_repair,1645,2011,2106,0.985626
4_PROPOSED,v6_chain_center,1415,1916,2016,0.987496
4_PROPOSED,v6_chain_farBS,1409,1824,1936,0.977653
4_PROPOSED,v7_chain_backup_center,1415,1911,2001,0.991026
4_PROPOSED,v7_chain_backup_farBS,1409,1801,1906,0.989727
4_PROPOSED,v7_1_multihop_int5,1471,1916,2006,0.990728
4_PROPOSED,v7_2_multihop_int10,1421,1991,2193,0.982688
4_PROPOSED,v8_center,2501,2589,2636,0.996527
4_PROPOSED,v8_farBS,1441,1596,1646,0.994649
4_PROPOSED,v8_chain_center,2501,2589,2631,0.996392
4_PROPOSED,v8_chain_farBS,1671,1851,1906,0.993581
4_PROPOSED/side_experiments,v7_backup_only_noChain_int10,1540,2090,2291,0.985763
ablation,v8_without_I1,2501,2589,2636,0.996527
ablation,v8_without_I2,2496,2581,2641,0.996573
ablation,v8_without_I3,2501,2586,2626,0.997107
ablation,v8_without_I4,1766,1946,2021,0.994142
ablation,v8_without_I5,2106,2516,2616,0.997063
routing,center_mode0,2501,2589,2636,0.996527
routing,center_mode1,2436,2531,2561,0.996404
routing,center_mode2,2501,2589,2631,0.996392
routing,farBS_mode0,1441,1596,1646,0.994649
routing,farBS_mode1,1636,1846,1891,0.994479
routing,farBS_mode2,1671,1851,1906,0.993581
robustness,v5b_center_seed1,1602,2040,2126,0.984329
robustness,v5b_center_seed12345,1645,2011,2106,0.985626
robustness,v5b_center_seed2024,1611,2020,2201,0.980777
robustness,v5b_center_seed31337,1431,2046,2211,0.983414
robustness,v5b_center_seed42,1666,2061,2302,0.980665
robustness,v5b_center_seed555,1625,2036,2121,0.981109
robustness,v5b_center_seed7,1725,2066,2701,0.973292
robustness,v5b_center_seed99,1639,2045,2146,0.979466
robustness,v8_center_seed1,2511,2601,2646,0.996431
robustness,v8_center_seed12345,2501,2589,2636,0.996527
robustness,v8_center_seed2024,2491,2568,2606,0.996691
robustness,v8_center_seed31337,2506,2603,2651,0.996986
robustness,v8_center_seed42,2496,2578,2621,0.996601
robustness,v8_center_seed555,2491,2581,2621,0.995811
robustness,v8_center_seed7,2531,2634,2671,0.996847
robustness,v8_center_seed99,2471,2606,2636,0.996435
robustness,v8_chain_center_seed1,2511,2601,2646,0.996428
robustness,v8_chain_center_seed12345,2501,2589,2631,0.996392
robustness,v8_chain_center_seed2024,2491,2568,2601,0.996703
robustness,v8_chain_center_seed31337,2506,2603,2646,0.997105
robustness,v8_chain_center_seed42,2496,2578,2626,0.996407
robustness,v8_chain_center_seed555,2491,2581,2641,0.995049
robustness,v8_chain_center_seed7,2531,2634,2676,0.996544
robustness,v8_chain_center_seed99,2471,2606,2641,0.996132
robustness,v8_farBS_seed1,1466,1651,1696,0.993332
robustness,v8_farBS_seed12345,1441,1596,1646,0.994649
robustness,v8_farBS_seed2024,1421,1606,1651,0.994033
robustness,v8_farBS_seed31337,1446,1641,1691,0.994139
robustness,v8_farBS_seed42,1451,1636,1696,0.992346
robustness,v8_farBS_seed555,1391,1596,1651,0.993827
robustness,v8_farBS_seed7,1481,1646,1701,0.992082
robustness,v8_farBS_seed99,1446,1646,1701,0.994340
robustness,v8_chain_farBS_seed1,1661,1891,1951,0.994434
robustness,v8_chain_farBS_seed12345,1671,1851,1906,0.993581
robustness,v8_chain_farBS_seed2024,1646,1851,1921,0.994472
robustness,v8_chain_farBS_seed31337,1716,1881,1941,0.993319
robustness,v8_chain_farBS_seed42,1716,1891,1951,0.993293
robustness,v8_chain_farBS_seed555,1641,1856,1916,0.994133
robustness,v8_chain_farBS_seed7,1681,1881,1956,0.993912
robustness,v8_chain_farBS_seed99,1721,1876,1926,0.995348
security,v8_chain_none_center,2501,2589,2631,0.996392
security,v8_chain_none_far,1671,1851,1906,0.993581
security,v8_chain_mic104_center,2286,2376,2411,0.997435
security,v8_chain_mic104_far,1526,1716,1766,0.994026
security,v8_chain_mic104_aes5nJ_center,2096,2176,2221,0.997241
security,v8_chain_mic104_aes5nJ_far,1356,1591,1641,0.995202
security,v8_chain_mic104_ecc20mJ_center,2181,2278,2326,0.997045
security,v8_chain_mic104_ecc20mJ_far,1441,1651,1696,0.993964
security,v8_chain_mic104_aes5nJ_ecc20mJ_center,2031,2108,2146,0.996917
security,v8_chain_mic104_aes5nJ_ecc20mJ_far,1361,1535,1576,0.993044
far_bs,eechheed_EDITED_farBS,932,1381,1407,0.995805
far_bs,eechheed_IMPROVED_farBS,1412,1437,1456,0.991243
far_bs,heed_EDITED_farBS,330,774,1374,0.995153
far_bs,heed_fairness_EDITED_farBS,422,757,1389,0.994746
far_bs,hleach_EDITED_farBS,1121,1156,1174,0.980272
far_bs,hleach_IMPROVED_farBS,1219,1262,1278,0.991184
far_bs,leach_EDITED_farBS,988,1230,1652,0.994295
far_bs,pegasis_EDITED_farBS,1374,2176,2713,0.990811
far_bs,shleach_EDITED_farBS,390,601,861,0.996734
far_bs,shleach_IMPROVED_farBS,1388,1435,1455,0.988878
far_bs,v3_single_pass_reuse_int5_farBS,1166,1576,2001,0.987635
far_bs,v5b_energy_aware_repair_farBS,1166,1561,1796,0.989356
security_proposal,sec_leach_center_s0_none,1383,1586,1842,0.994000
security_proposal,sec_leach_center_s10_ecc160_aes,971,1141,1300,0.993100
security_proposal,sec_leach_center_s11_p256_aes,845,986,1118,0.988700
security_proposal,sec_leach_center_s12_ecc160_ecdsa,281,306,320,0.988700
security_proposal,sec_leach_center_s13_ecc160_swaes,557,666,779,0.987000
security_proposal,sec_leach_center_s14_x25519_aes,932,1080,1250,0.989600
security_proposal,sec_leach_center_s15_rsa3072_aes,728,870,1029,0.987900
security_proposal,sec_leach_center_s16_rsa1024_aes,990,1158,1321,0.994300
security_proposal,sec_leach_center_s1_aes_only,1037,1240,1435,0.991300
security_proposal,sec_leach_center_s2_hybrid_rsa,395,429,450,0.990800
security_proposal,sec_leach_center_s3_hybrid_ecc,302,328,347,0.980600
security_proposal,sec_leach_center_s4_full_ecc,1,23,39,0.238200
security_proposal,sec_leach_center_s5_full_rsa,182,194,201,0.054700
security_proposal,sec_leach_center_s6_once_rsa,1019,1210,1410,0.992000
security_proposal,sec_leach_center_s7_once_ecc,1017,1194,1365,0.991200
security_proposal,sec_leach_center_s8_bs_ecc,284,314,321,0.969800
security_proposal,sec_leach_center_s9_bs_rsa,201,209,220,0.953200
security_proposal,sec_leach_far_s0_none,988,1230,1652,0.994300
security_proposal,sec_leach_far_s10_ecc160_aes,764,913,1207,0.991700
security_proposal,sec_leach_far_s11_p256_aes,648,771,1046,0.989400
security_proposal,sec_leach_far_s12_ecc160_ecdsa,262,285,311,0.992600
security_proposal,sec_leach_far_s13_ecc160_swaes,504,566,752,0.984100
security_proposal,sec_leach_far_s14_x25519_aes,720,867,1158,0.990000
security_proposal,sec_leach_far_s15_rsa3072_aes,572,675,913,0.990100
security_proposal,sec_leach_far_s16_rsa1024_aes,765,920,1252,0.989600
security_proposal,sec_leach_far_s1_aes_only,821,986,1334,0.988400
security_proposal,sec_leach_far_s2_hybrid_rsa,351,390,434,0.988400
security_proposal,sec_leach_far_s3_hybrid_ecc,281,304,336,0.988300
security_proposal,sec_leach_far_s4_full_ecc,1,20,47,0.218500
security_proposal,sec_leach_far_s5_full_rsa,161,186,200,0.052800
security_proposal,sec_leach_far_s6_once_rsa,798,954,1283,0.991000
security_proposal,sec_leach_far_s7_once_ecc,786,930,1266,0.991600
security_proposal,sec_leach_far_s8_bs_ecc,264,295,320,0.958400
security_proposal,sec_leach_far_s9_bs_rsa,181,203,220,0.941500
security_proposal,sec_pegasis_center_s0_none,1324,2352,3504,0.994200
security_proposal,sec_pegasis_center_s10_ecc160_aes,1141,1953,2938,0.993200
security_proposal,sec_pegasis_center_s11_p256_aes,981,1676,2514,0.992000
security_proposal,sec_pegasis_center_s12_ecc160_ecdsa,760,1016,1665,0.980100
security_proposal,sec_pegasis_center_s13_ecc160_swaes,785,1099,1682,0.991900
security_proposal,sec_pegasis_center_s14_x25519_aes,1081,1847,2776,0.993700
security_proposal,sec_pegasis_center_s15_rsa3072_aes,863,1475,2226,0.992600
security_proposal,sec_pegasis_center_s16_rsa1024_aes,1158,1980,2982,0.993500
security_proposal,sec_pegasis_center_s1_aes_only,1196,2043,3077,0.994200
security_proposal,sec_pegasis_center_s2_hybrid_rsa,874,1245,2008,0.977200
security_proposal,sec_pegasis_center_s3_hybrid_ecc,774,1047,1705,0.976800
security_proposal,sec_pegasis_center_s4_full_ecc,11,12,23,0.832900
security_proposal,sec_pegasis_center_s5_full_rsa,1,1,14,0.028800
security_proposal,sec_pegasis_center_s6_once_rsa,1158,1980,2982,0.993500
security_proposal,sec_pegasis_center_s7_once_ecc,1141,1953,2938,0.993200
security_proposal,sec_pegasis_center_s8_bs_ecc,774,1047,1700,0.976800
security_proposal,sec_pegasis_center_s9_bs_rsa,674,848,1229,0.944600
security_proposal,sec_pegasis_far_s0_none,1374,2176,2713,0.990800
security_proposal,sec_pegasis_far_s10_ecc160_aes,1182,1814,2272,0.991100
security_proposal,sec_pegasis_far_s11_p256_aes,1014,1560,1952,0.988400
security_proposal,sec_pegasis_far_s12_ecc160_ecdsa,774,974,1016,0.964900
security_proposal,sec_pegasis_far_s13_ecc160_swaes,804,1057,1397,0.985800
security_proposal,sec_pegasis_far_s14_x25519_aes,1118,1716,2149,0.988700
security_proposal,sec_pegasis_far_s15_rsa3072_aes,893,1374,1721,0.988600
security_proposal,sec_pegasis_far_s16_rsa1024_aes,1199,1843,2302,0.989700
security_proposal,sec_pegasis_far_s1_aes_only,1237,1900,2384,0.991100
security_proposal,sec_pegasis_far_s2_hybrid_rsa,894,1195,1259,0.973500
security_proposal,sec_pegasis_far_s3_hybrid_ecc,796,1021,1076,0.968100
security_proposal,sec_pegasis_far_s4_full_ecc,11,12,22,0.831400
security_proposal,sec_pegasis_far_s5_full_rsa,1,1,13,0.033800
security_proposal,sec_pegasis_far_s6_once_rsa,1199,1843,2302,0.989700
security_proposal,sec_pegasis_far_s7_once_ecc,1182,1814,2272,0.991100
security_proposal,sec_pegasis_far_s8_bs_ecc,796,1021,1075,0.968100
security_proposal,sec_pegasis_far_s9_bs_rsa,674,806,855,0.959400
security_proposal,sec_v8_center_s0_none,2501,2589,2631,0.996400
security_proposal,sec_v8_center_s10_ecc160_aes,1981,2061,2101,0.997200
security_proposal,sec_v8_center_s11_p256_aes,1686,1791,1821,0.996900
security_proposal,sec_v8_center_s12_ecc160_ecdsa,991,1126,1166,0.989200
security_proposal,sec_v8_center_s13_ecc160_swaes,1126,1226,1256,0.995400
security_proposal,sec_v8_center_s14_x25519_aes,1856,1958,1986,0.997100
security_proposal,sec_v8_center_s15_rsa3072_aes,1491,1583,1626,0.996400
security_proposal,sec_v8_center_s16_rsa1024_aes,1996,2092,2126,0.997200
security_proposal,sec_v8_center_s1_aes_only,2096,2176,2221,0.997200
security_proposal,sec_v8_center_s2_hybrid_rsa,1336,1466,1561,0.962100
security_proposal,sec_v8_center_s3_hybrid_ecc,1121,1271,1381,0.951700
security_proposal,sec_v8_center_s4_full_ecc,7,101,216,0.133100
security_proposal,sec_v8_center_s5_full_rsa,49,216,341,0.060100
security_proposal,sec_v8_center_s6_once_rsa,2061,2131,2166,0.996200
security_proposal,sec_v8_center_s7_once_ecc,2001,2086,2126,0.996900
security_proposal,sec_v8_center_s8_bs_ecc,736,946,1026,0.962600
security_proposal,sec_v8_center_s9_bs_rsa,371,756,836,0.962500
security_proposal,sec_v8chain_far_s0_none,1671,1851,1906,0.993600
security_proposal,sec_v8chain_far_s10_ecc160_aes,1336,1501,1561,0.995100
security_proposal,sec_v8chain_far_s11_p256_aes,1096,1296,1351,0.991700
security_proposal,sec_v8chain_far_s12_ecc160_ecdsa,781,926,1001,0.969700
security_proposal,sec_v8chain_far_s13_ecc160_swaes,756,911,956,0.991700
security_proposal,sec_v8chain_far_s14_x25519_aes,1231,1431,1476,0.994300
security_proposal,sec_v8chain_far_s15_rsa3072_aes,1016,1136,1181,0.994600
security_proposal,sec_v8chain_far_s16_rsa1024_aes,1336,1526,1586,0.996100
security_proposal,sec_v8chain_far_s1_aes_only,1356,1591,1641,0.995200
security_proposal,sec_v8chain_far_s2_hybrid_rsa,956,1151,1276,0.965500
security_proposal,sec_v8chain_far_s3_hybrid_ecc,866,1021,1141,0.956600
security_proposal,sec_v8chain_far_s4_full_ecc,6,71,171,0.141400
security_proposal,sec_v8chain_far_s5_full_rsa,203,291,376,0.040900
security_proposal,sec_v8chain_far_s6_once_rsa,1331,1546,1591,0.993500
security_proposal,sec_v8chain_far_s7_once_ecc,1336,1526,1581,0.993800
security_proposal,sec_v8chain_far_s8_bs_ecc,716,926,1021,0.960100
security_proposal,sec_v8chain_far_s9_bs_rsa,336,741,846,0.953400
